text,text_preprocessed,LEN
"Em i kam long taun bilong Aten, na [[Platon]] i skulim pinis em.",Em i kam long taun bilong Aten na Platon i skulim pinis em,13
"Paramata stap wanpela pat bilong [[Sidni]], [[Niu Saut Wels]], [[Ostrelia]].",Paramata stap wanpela pat bilong Sidni Niu Saut Wels Ostrelia,10
COVID-19 em i mekim bilong [[SARS-CoV-2]].,COVID em i mekim bilong SARSCoV,6
"[[Ol Yunaitet Stet]] em i namba wan kantri wantaim moa tru keis insait long graun (moa long 5,400,000).",Ol_Yunaitet_Stet em i namba wan kantri wantaim moa tru keis insait long graun,13
Papua Niugini em i wanpela kantri long rijen [[Melanesia]] long Pasifik.,Papua Niugini em i wanpela kantri long rijen Melanesia long Pasifik,11
"Giraun bilong kantri i stap long isten hap bilong Niugini Ailan na tu long ol narapela ailan olsem [[Niu Briten]], [[Niu Ailan]], [[Bogenvil]], [[Manus]], na planti moa.",Giraun bilong kantri i stap long isten hap bilong Niugini Ailan na tu long ol narapela ailan olsem Niu_Briten Niu Ailan Bogenvil Manus na planti moa,26
"Olsem tri handet (300) yia i go pinis, [[kaukau]] i kam long [[Saut Amerika]].",Olsem tri handet yia i go pinis kaukau i kam long Saut Amerika,13
Nau yumi save long dispela taun long nem [[Kokopo]].,Nau yumi save long dispela taun long nem Kokopo,9
"Taim wo i stat long 1915, ami bilong [[Ostrelia]] i rausim gavman bilong Jemani na bosim tupela giraun: ""Papua"" (Sauten Rijen) na ""New Guinea"" (Ailans Rijen na Momase Rijen).",Taim wo i stat long ami bilong Ostrelia i rausim gavman bilong Jemani na bosim tupela giraun Papua na New Guinea,21
"Wo i kamap gen long 1941, taim ami bilong [[Siapan]] i kam na holim planti hap long Niugini olsem [[Niu Ailan]], [[Manus]], [[Niu Briten]], [[Bogenvil]], Momase Rijen na tu [[Oro]] na [[Milen Be]].",Wo i kamap gen long taim ami bilong Siapan i kam na holim planti hap long Niugini olsem Niu Ailan Manus Niu Briten Bogenvil Momase Rijen na tu Oro na Milen Be,32
"Long 1972 nupela ileksen i kamap long Palamen tru, na ol memba i makim [[Michael Somare]] olsem nambawan Praim Minista bilong kantri.",Long nupela ileksen i kamap long Palamen tru na ol memba i makim Michael_Somare olsem nambawan Praim Minista bilong kantri,20
"Michael Somare bilong [[Pangu Pati]] i stap olsem Praim Minista inap long yia 1980, na long dispela taim Palamen i vot long rausim em na Julius Chan i kisim nambawan sia nau.",Michael Somare bilong Pangu_Pati i stap olsem Praim Minista inap long yia na long dispela taim Palamen i vot long rausim em na Julius Chan i kisim nambawan sia nau,30
Traipela pait long [[Bogenvil]] i stat long yia 1988 i go long yia 1997.,Traipela pait long Bogenvil i stat long yia i go long yia,12
"Long yia 1992, Sir Julius Chan i kisim pawa gen, inap long 1997, taim em i risain bihain long traubel wantaim Sandlain long [[Bogenvil]].",Long yia Sir Julius Chan i kisim pawa gen inap long taim em i risain bihain long traubel wantaim Sandlain long Bogenvil,22
"Long nesenel ileksen bilong yia 2007, Nesenel Alains i winim ol narapela pati na kirapim nupela gavman gen. [[Giraun]].",Long nesenel ileksen bilong yia Nesenel Alains i winim ol narapela pati na kirapim nupela gavman gen Giraun,18
Ol abus na [[diwai]].,Ol abus na diwai,4
Bigpela hap bilong ol pisin na abus bilong [[Niugini Ailan]] i wanlain long sampela pisin na abus bilong [[Ostrelia]].,Bigpela hap bilong ol pisin na abus bilong Niugini_Ailan i wanlain long sampela pisin na abus bilong Ostrelia,18
"Ol lain bilong kapul, kaskas na ol narapela abus olsem we ol i save karim pikinini long [[paus]], ol i no save silip long narapela kantri: oli stap long [[Niugini]] na [[Ostrelia]] tasol.",Ol lain bilong kapul kaskas na ol narapela abus olsem we ol i save karim pikinini long paus ol i no save silip long narapela kantri oli stap long Niugini na Ostrelia tasol,33
"Long ol ailan bilong [[Papua Niugini]], ol abus i narapela kain gen: i no gat ol kapul, kaskas na narapela abus olsem.",Long ol ailan bilong Papua_Niugini ol abus i narapela kain gen i no gat ol kapul kaskas na narapela abus olsem,21
"Antap long 700 kain (Tok Inglis: ""species"") bilong pisin istap long [[Papua Niugini]].",Antap long kain bilong pisin istap long Papua_Niugini,8
"Wanpela lain bilong ol pisin igat bigpela nem: ol [[kumul]] (Tok Inglis: ""bird of paradise"").",Wanpela lain bilong ol pisin igat bigpela nem ol kumul,10
"Nau kumul em i [[nesenel mak bilong Papua Niugini]], na yumi lukim em long plak bilong kantri.",Nau kumul em i nesenel_mak_bilong_Papua_Niugini na yumi lukim em long plak bilong kantri,13
"Klostu long hap milien i silip long ol bikpela taun olsem [[Pot Mosbi]], [[Lae]], [[Maun Hagen]], Madang, [[Wewak]], [[Goroka]], na [[Kokopo]].",Klostu long hap milien i silip long ol bikpela taun olsem Pot_Mosbi Lae Maun Hagen Madang Wewak Goroka na Kokopo,20
"Dispela namba em i makim olsem wanpela ten tu pesen (12%) bilong olgeta tokples long [[wol]], na i no gat narapela kantri long wol i winim dispela namba bilong ol tokples.",Dispela namba em i makim olsem wanpela ten tu pesen bilong olgeta tokples long wol na i no gat narapela kantri long wol i winim dispela namba bilong ol tokples,30
"Igat tripela tokples bilong Palamen: Tok Inglis, [[Tok Pisin]] na [[Hiri Motu]], tasol tokples bilong gavman na bigpela hap bilong ol sikul em i Tok Inglis.",Igat tripela tokples bilong Palamen Tok Inglis Tok_Pisin na Hiri Motu tasol tokples bilong gavman na bigpela hap bilong ol sikul em i Tok Inglis,25
"Planti lain long [[Sentral Provins]] na [[Gulf Provins]] i save yusim Hiri Motu, na ol i no save yusim Tok Pisin tumas.",Planti lain long Sentral_Provins na Gulf Provins i save yusim Hiri Motu na ol i no save yusim Tok Pisin tumas,21
"[[Papua Niugini]] igat antap long wan tausen pasin bilong kastom, wantaim kainkain pasin bilong danis, singsing, katim [[diwai]], wokim bilas, na ol narapela pasin bilong kastom.",Papua_Niugini igat antap long wan tausen pasin bilong kastom wantaim kainkain pasin bilong danis singsing katim diwai wokim bilas na ol narapela pasin bilong kastom,25
"Long sampela hap bilong kantri, ol sios i rausim bikpela [[hap]] bilong ol kastom pinis, tasol long ol narapela [[hap]], kastom i stap yet na ol manmeri i bihainim kastom wantaim ol pasin bilong sios.",Long sampela hap bilong kantri ol sios i rausim bikpela hap bilong ol kastom pinis tasol long ol narapela hap kastom i stap yet na ol manmeri i bihainim kastom wantaim ol pasin bilong sios,35
Ekolosi em i saians bilong [[Environmen]] na [[biodaivesiti]].,Ekolosi em i saians bilong Environmen na biodaivesiti,8
Kamano Kafe i gat wanpela samting long grama bilong en na ol i kolim nem bilong em [[Sen]] bilong Sentens.,Kamano Kafe i gat wanpela samting long grama bilong en na ol i kolim nem bilong em Sen bilong Sentens,20
Planti ol lain [[tok]] ples Papua i gat grama olsem dispela.,Planti ol lain tok ples Papua i gat grama olsem dispela,11
"Olsem, long [[tok]] ples Kamano, taim yu stori, yu mas usim wanpela kain [[tok]] bilong wok pastaim na narapela [[tok]] bilong wok bihain.",Olsem long tok ples Kamano taim yu stori yu mas usim wanpela kain tok bilong wok pastaim na narapela tok bilong wok bihain,23
.新加坡 em i Intanet kod bilong kantri [[Singapore]].,新加坡 em i Intanet kod bilong kantri Singapore,8
"Dawin stap wanpela biktaun bilong [[Noten Teritori]], [[Ostrelia]].",Dawin stap wanpela biktaun bilong Noten_Teritori Ostrelia,7
Syria em i wanpela [[kantri]] long [[Esia]].,Syria em i wanpela kantri long Esia,7
[[Kapitol]] long emi Damasco.,Kapitol long emi Damasco,4
.ir em i Intanet kod bilong kantri [[Iran]].,ir em i Intanet kod bilong kantri Iran,8
"[[Daka]] i sayor bilong lain ""Piperales"".",Daka i sayor bilong lain Piperales,6
Long [[Tailan]] na Saina ol i helpim tit i gat pen.,Long Tailan na Saina ol i helpim tit i gat pen,11
"Yunaitet Kingdom long Bikpela Briten na Noten Aialan () em i kantri igat tupela ailan, [[Bikpela Briten]] na [[Aialan]], long [[Yurop]].",Yunaitet Kingdom long Bikpela Briten na Noten Aialan em i kantri igat tupela ailan Bikpela_Briten na Aialan long Yurop,19
[[Kaukau]] i no save rausim naitrogen i go [[aut]] long graun.,Kaukau i no save rausim naitrogen i go aut long graun,11
"[[George Washington Carver]], wanpela man bilong [[Amerika]] bin mekim planti kain invension yu [[ken]] mekim long kaukau.",George_Washington_Carver wanpela man bilong Amerika bin mekim planti kain invension yu ken mekim long kaukau,15
Siligo em i wanpela taun long Sadinia long kantri [[Itali]].,Siligo em i wanpela taun long Sadinia long kantri Itali,10
.ae em i Intanet kod bilong kantri [[United Arab Emirates]].,ae em i Intanet kod bilong kantri United_Arab_Emirates,8
Vancouver em i stap long nambawan siti long [[Kanada]].,Vancouver em i stap long nambawan siti long Kanada,9
"Stephen McDannell Hillenburg ([[Ogas]] 21, 1961 – [[Novemba]] 26, 2018) i bin [[Amerika]] manmeri.",Stephen McDannell Hillenburg i bin Amerika manmeri,7
"Got i minim wanpela samting o spirit husat ol manmeri bilong sampela ol lotu, olsem ol [[kristen]], ol [[islam]], na planti moa lotu, i save bihainim.",Got i minim wanpela samting o spirit husat ol manmeri bilong sampela ol lotu olsem ol kristen ol islam na planti moa lotu i save bihainim,26
"Dziecinow (""Dziecinów"") emi wanpela peles long kantri [[Polan]].",Dziecinow emi wanpela peles long kantri Polan,7
Rom em i [[kapitol]] bilong [[kantri]] [[Itali]].,Rom em i kapitol bilong kantri Itali,7
Long [[India]] ol i bilipim bel i nambawan naispela pat bilong meri.,Long India ol i bilipim bel i nambawan naispela pat bilong meri,12
Isten Hailans em i wanpela provins long [[Papua Niugini]].,Isten Hailans em i wanpela provins long Papua_Niugini,8
[[Goroka]] em i [[kapitol]] na bikpela taun bilong em.,Goroka em i kapitol na bikpela taun bilong em,9
Bikpela cago bilong Isten Hailans emi [[kopi]].,Bikpela cago bilong Isten Hailans emi kopi,7
Ol kriol tokples kamap taim tupela [[tokples]] i kontak wantaim.,Ol kriol tokples kamap taim tupela tokples i kontak wantaim,10
[[Tok Pisin]] em i wanpela kriol tokples we tok Inglis i givim bikpela hap bilong ol tok.,Tok_Pisin em i wanpela kriol tokples we tok Inglis i givim bikpela hap bilong ol tok,16
Liklik hap i kam long ol tokples bilong [[Papua Niugini]] na Germany.,Liklik hap i kam long ol tokples bilong Papua_Niugini na Germany,11
.pl em i Intanet kod bilong kantri [[Polan]].,pl em i Intanet kod bilong kantri Polan,8
Paris (o Pari) em i kapitol na taun bikpela tumas bilong [[kantri]] Pranis long [[Yurop]].,Paris em i kapitol na taun bikpela tumas bilong kantri Pranis long Yurop,13
"""[[Tour Eiffel]]"" ""[[Paris]]"" ""[[Paris]]"" ""[[Paris]]"" ""[[Paris]]"" ""[[Paris]]"" ""[[cathédrale Notre Dame]]""",Tour_Eiffel Paris Paris Paris Paris Paris cathédrale Notre Dame,9
Kimbe em i [[kapitol]] na taun bikpela tumas bilong [[Wes Niu Briten]] provins long [[Papua Niugini]].,Kimbe em i kapitol na taun bikpela tumas bilong Wes Niu Briten provins long Papua Niugini,16
"Netirel seleksan (Inglis: natural selection) em i pasin bilong [[ivolusan]]: ol animal na planis senis long bigpela taim, na givim senis long pikinini bilong ol long [[DNA]].",Netirel seleksan em i pasin bilong ivolusan ol animal na planis senis long bigpela taim na givim senis long pikinini bilong ol long DNA,24
"[[Hos]] i gat longpela lek mo is save ranawe hariap mo na i stap laif, tasol hos i gat sotpela lek ino nap eskep laian na laian kaikai ol.",Hos i gat longpela lek mo is save ranawe hariap mo na i stap laif tasol hos i gat sotpela lek ino nap eskep laian na laian kaikai ol,29
Eksempel namba tripela: [[Ol]] saientis tingting bifo i gat mangi (monkeys).,Eksempel namba tripela Ol saientis tingting bifo i gat mangi,10
"[[Ol]] lainim toktok, wokim paia na wokim bunara na haus bilong ol: ol bikam man meri.",Ol lainim toktok wokim paia na wokim bunara na haus bilong ol ol bikam man meri,16
"Sompela lain i no bilipim dispela stori, ol bilipim Baibel na olsem [[Papa]] God crietim Adam na Eve na olsem yumi olgeta pikinini bilong Adam na Eve.",Sompela lain i no bilipim dispela stori ol bilipim Baibel na olsem Papa God crietim Adam na Eve na olsem yumi olgeta pikinini bilong Adam na Eve,27
Barraba i viles long Niu Inglan rijon long [[Niu Saut Wels]] long [[Ostrelia]].,Barraba i viles long Niu Inglan rijon long Niu_Saut_Wels long Ostrelia,11
"Barraba i stap 477 kilomita notwes long [[Sidni]], 548 kilomita sautwes long [[Brisbin]], na 90 kilomita not long Tamweth em i biktaun klostu winim bilong olgeta.",Barraba i stap kilomita notwes long Sidni kilomita sautwes long Brisbin na kilomita not long Tamweth em i biktaun klostu winim bilong olgeta,23
Wara [[Manilla]] i ran arere long viles.,Wara Manilla i ran arere long viles,7
"Barraba i stap long rot ""[[Fossickers Way]]"" na i stap long ol maunten ""Nandewar Range"".",Barraba i stap long rot Fossickers_Way na i stap long ol maunten Nandewar Range,14
[[Namba]] wan Yuropen em i [[kam]] long dispela distrik i [[Allan Cunningham]] em i bin kamap long ples long 1827.,Namba wan Yuropen em i kam long dispela distrik i Allan Cunningham em i bin kamap long ples long,19
Em i bin man bilong painim nupela ples na saveman i laik kisim save long ol gutpela [[diwai]] bus samting.,Em i bin man bilong painim nupela ples na saveman i laik kisim save long ol gutpela diwai bus samting,20
Painimaut long [[gol]] i bin kamapim viles.,Painimaut long gol i bin kamapim viles,7
"[[Ol]] i wokim namba wan hotel, ""Commercial Hotel"", pinis long 1878 na ol i wokim haus kot pinis long 1881.",Ol i wokim namba wan hotel Commercial Hotel pinis long na ol i wokim haus kot pinis long,18
Ol i wokim lotu [[Katolik]] pinis long 1906.,Ol i wokim lotu Katolik pinis long,7
Dispela main i bin bras min em i bikpela winim olgeta long [[Niu Saut Wels]] bilong 1901 na liklik viles i bin gat 300 manmeri long en.,Dispela main i bin bras min em i bikpela winim olgeta long Niu_Saut_Wels bilong na liklik viles i bin gat manmeri long en,23
Olgeta asbestos i kamarupim 43 hekta na [[hip]] i go inap 70 mita antap.,Olgeta asbestos i kamarupim hekta na hip i go inap mita antap,12
Long 2008 nius bilong televisen i tok long wari long abestos em i ating mekim sik menmeri bilong [[Barraba]].,Long nius bilong televisen i tok long wari long abestos em i ating mekim sik menmeri bilong Barraba,18
"""Abestos Diseases [[Foundation]] of [[Australia]]"" ol i bin singaut long we gavman [[mas]] stretim ples bilong main.",Abestos Diseases Foundation of Australia ol i bin singaut long we gavman mas stretim ples bilong main,17
[[Ol]] i bin singaut long tu nogat manmeri i no inap i go long ples bilong main.,Ol i bin singaut long tu nogat manmeri i no inap i go long ples bilong main,17
"Helt sevis ""[[Hunter-New England Health]]"" i bin mekim stadi long ol problem bilong helt tasol ol i no lusim dispela stadi yet.",Helt sevis HunterNew_England_Health i bin mekim stadi long ol problem bilong helt tasol ol i no lusim dispela stadi yet,20
[[Man]] i inap painim plenti ston em i pe antap tru.,Man i inap painim plenti ston em i pe antap tru,11
[[Man]] i inap painim ol piksa bilong ston tu.,Man i inap painim ol piksa bilong ston tu,9
"Ol fem bilong ples i gat [[bulmakau]] long mit, sipsip long mit na wul, o wit.",Ol fem bilong ples i gat bulmakau long mit sipsip long mit na wul o wit,16
"Bipo ol i wokim Banis bilong wara ol kolim ""Split Rock Dam"" pinis, manmeri bilong Barraba i kamautim wara long Banis bilong Wara ol i kolim ""Connors Creek Dam"", long liklik wara Barraba (""Barraba Creek""), na long wara [[Manilla]].",Bipo ol i wokim Banis bilong wara ol kolim Split Rock Dam pinis manmeri bilong Barraba i kamautim wara long Banis bilong Wara ol i kolim Connors Creek Dam long liklik wara Barraba na long wara Manilla,37
Moshchena em i nambawan siti saut [[Yukren]].,Moshchena em i nambawan siti saut Yukren,7
.bh em i Intanet kod bilong kantri [[Bahrain]].,bh em i Intanet kod bilong kantri Bahrain,8
.ki em i Intanet kod bilong kantri [[Kiribas]].,ki em i Intanet kod bilong kantri Kiribas,8
Suwisalan i wanpela [[kantri]] long [[Yurop]].,Suwisalan i wanpela kantri long Yurop,6
Politikis em i we long manmeri wantim i ken tingting na mekim disison long [[gavman]] na narapela kaim samting tu.,Politikis em i we long manmeri wantim i ken tingting na mekim disison long gavman na narapela kaim samting tu,20
Politikis i no bilong [[gavman]] tasol.,Politikis i no bilong gavman tasol,6
Narapela we long toktok long politikis tu emi i stadi bilong [[gavman]] Em i gat planti narakain tingting long politikis.,Narapela we long toktok long politikis tu emi i stadi bilong gavman Em i gat planti narakain tingting long politikis,20
.pg em i Intanet kod bilong kantri [[Papua Niugini]].,pg em i Intanet kod bilong kantri Papua_Niugini,8
"Sande i nambaseven de bilong [[wik]], o de bihain tru bilong wik.",Sande i nambaseven de bilong wik o de bihain tru bilong wik,12
"Long sampela kantri (olsem [[Amerika]] na [[Inglan]]), wik i stat long [[Sande]], na Sande i nambawan de bilong wik.",Long sampela kantri wik i stat long Sande na Sande i nambawan de bilong wik,15
"Bipo bipo tru long [[Yurop]], ol i lotuim san.",Bipo bipo tru long Yurop ol i lotuim san,9
"Sande wantaim [[Sarere]] ol i mekim wiken, o hap bilong wik i no gat wok.",Sande wantaim Sarere ol i mekim wiken o hap bilong wik i no gat wok,15
"Long lotu bilong ol [[Kristen]], Sande i de antap bilong lotuim.",Long lotu bilong ol Kristen Sande i de antap bilong lotuim,11
"Planti manmeri bilong Kristen ol i go long [[sios]], o haus lotu bilong ol Kristen.",Planti manmeri bilong Kristen ol i go long sios o haus lotu bilong ol Kristen,15
Potugal em i kantri bilong [[Yurop]].,Potugal em i kantri bilong Yurop,6
[[Kapitol]] bilong Potugal emi Lisbon.,Kapitol bilong Potugal emi Lisbon,5
Tunde i nambatu de bilong [[wik]].,Tunde i nambatu de bilong wik,6
"Long sampela kantri (olsem [[Amerika]] na [[Inglan]]), wik i stat long [[Sande]], na Tunde i nambatri de bilong wik.",Long sampela kantri wik i stat long Sande na Tunde i nambatri de bilong wik,15
"Tasol ating taim [[Tok Pisin]] i kirap, manmeri i save toktok long Tok Pisin ol i tingting dispela i min ""Two Day"", o nambatu de.",Tasol ating taim Tok_Pisin i kirap manmeri i save toktok long Tok Pisin ol i tingting dispela i min Two Day o nambatu de,24
"Nau ""nambatri de"" em i kamap [[trinde]], na ""nambafo de"" em i kamap [[fonde]].",Nau nambatri de em i kamap trinde na nambafo de em i kamap fonde,14
Zhengzhou ([[Tok Saina]]:鄭州) em i [[kapitol]] long [[kantri]] Republik bilong Manmeri bilong China.,Zhengzhou em i kapitol long kantri Republik bilong Manmeri bilong China,11
Mick Jagger (Michael Philip Jagger; 26 Julai 1943) i bin stap [[Yunaitet Kingdom]] musiker.,Mick Jagger i bin stap Yunaitet_Kingdom musiker,7
.ec em i Intanet kod bilong kantri [[Ekuwado]].,ec em i Intanet kod bilong kantri Ekuwado,8
"O Arais, Ol Yu Pipel (Tok Inglis: ""Arise, All You Sons"", litreli ""O Arais Ol Yu Pikinini Man"") em i nesenel singsing bilong [[Papua Niugini]].",O Arais Ol Yu Pipel em i nesenel singsing bilong Papua_Niugini,11
Em i kamap nesenel singsing wantaim Papua Niugini ikam independen long 16 Septemba [[1975]].,Em i kamap nesenel singsing wantaim Papua Niugini ikam independen long Septemba,12
Buna em i wanpela ples bilong [[Oro]] Provins long [[Papua Niugini]].,Buna em i wanpela ples bilong Oro Provins long Papua Niugini,11
.co em i Intanet kod bilong kantri [[Kolambia]].,co em i Intanet kod bilong kantri Kolambia,8
Kokopo emi wanpela bikpela taun na [[kapitol]] bilong [[Is Niu Briten]] rijen long [[Papua Niugini]].,Kokopo emi wanpela bikpela taun na kapitol bilong Is Niu Briten rijen long Papua Niugini,15
Koiari i wanpela lokol gavman eria long [[Sentral Provins]].,Koiari i wanpela lokol gavman eria long Sentral_Provins,8
Uetersen em i siti na taun bikpela tumas bilong [[kantri]] [[Siamani]] long [[Yurop]].,Uetersen em i siti na taun bikpela tumas bilong kantri Siamani long Yurop,13
Koria o Korea i kantri bilong [[Esia]].,Koria o Korea i kantri bilong Esia,7
Bipo [[1945]] Koria i bin wanpela kantri.,Bipo Koria i bin wanpela kantri,6
"Nau Koria igat tupela kantri, [[Saut Koria]] na [[Not Koria]].",Nau Koria igat tupela kantri Saut_Koria na Not Koria,9
"Pot Mosbi o Mosbi (""Port Moresby"" long Tok Inglis) em i wanpela taun long [[Papua Niugini]].",Pot Mosbi o Mosbi em i wanpela taun long Papua_Niugini,10
"Em i kapitol bilong kantri, na ol opis bilong nesenal [[gavman]] i stap long Mosbi.",Em i kapitol bilong kantri na ol opis bilong nesenal gavman i stap long Mosbi,15
Emi stap insait long [[Nesenel Kapitol Distrik]] na tu emi kapitol bilong [[Sentral Provins]].,Emi stap insait long Nesenel_Kapitol_Distrik na tu emi kapitol bilong Sentral Provins,12
"Long yia [[2000]] 254,158 manmeri i bin stap long Mosbi.",Long yia manmeri i bin stap long Mosbi,8
"Long yia 1873, wanpela bot bilong [[Inglan]] i kam na painim basis long [[Mosbi]] na tokaut olsem em bai giraun bilong ol nau.",Long yia wanpela bot bilong Inglan i kam na painim basis long Mosbi na tokaut olsem em bai giraun bilong ol nau,22
"Nem bilong kepten bilong bot emi [[John Moresby]], na emi givim nem ""[[Port Moresby]]"" long tingim [[papa]] bilong em, [[Sir Fairfax Moresby]].",Nem bilong kepten bilong bot emi John_Moresby na emi givim nem Port Moresby long tingim papa bilong em Sir Fairfax Moresby,21
"Taim wo i stat long 1941, ol ami bilong [[Amerika]] na [[Ostrelia]] i [[kam]] na wokim traipela ami bes long [[Mosbi]].",Taim wo i stat long ol ami bilong Amerika na Ostrelia i kam na wokim traipela ami bes long Mosbi,20
"Planti pait i kamap long ol maunten namel long [[Mosbi]] na Oro Provins, na tu planti ol manmeri [[Papua]] i lusim [[Mosbi]] na go bek long ol peles bilong ol long dispela taim.",Planti pait i kamap long ol maunten namel long Mosbi na Oro Provins na tu planti ol manmeri Papua i lusim Mosbi na go bek long ol peles bilong ol long dispela taim,33
"Bihain long wo, [[Mosbi]] i kamap olsem kapitol bilong gavman, na long taim bilong Independens bilong [[Papua Niugini]] long 1975, [[Mosbi]] emi kisim nem olsem kapitol bilong kantri.",Bihain long wo Mosbi i kamap olsem kapitol bilong gavman na long taim bilong Independens bilong Papua Niugini long Mosbi emi kisim nem olsem kapitol bilong kantri,27
"Long yia 2004, wanpela ripot itok olsem [[Mosbi]] emi winim olgeta siti bilong [[wol]] olsem emi hap nogut.",Long yia wanpela ripot itok olsem Mosbi emi winim olgeta siti bilong wol olsem emi hap nogut,17
Planti ol opis bilong [[gavman]] na Palamen istap long Waigani.,Planti ol opis bilong gavman na Palamen istap long Waigani,10
.hk em i Intanet kod bilong kantri [[Hong Kong]].,hk em i Intanet kod bilong kantri Hong_Kong,8
Pilosopi long West i wanpela lain long [[pilosopi]] bilong kantri long Wes.,Pilosopi long West i wanpela lain long pilosopi bilong kantri long Wes,12
Taim bpo pilosopi long Wes ikam long pilosopi long olpela Gris na planti manmeri bilong pilosopi tingting as ples bilong pilosopi i [[Gris]].,Taim bpo pilosopi long Wes ikam long pilosopi long olpela Gris na planti manmeri bilong pilosopi tingting as ples bilong pilosopi i Gris,23
.bo em i Intanet kod bilong kantri [[Bolivia]].,bo em i Intanet kod bilong kantri Bolivia,8
Slovenia em i wanpela [[kantri]] long [[Yurop]].,Slovenia em i wanpela kantri long Yurop,7
[[Kapitol]] long Macedonia emi Ljubljana.,Kapitol long Macedonia emi Ljubljana,5
Viktoria stap wanpela stet bilong [[Ostrelia]].,Viktoria stap wanpela stet bilong Ostrelia,6
Wanpela [[kapitol]] stap [[Melben]].,Wanpela kapitol stap Melben,4
Gabon em i wanpela kantri bilong [[Aprika]].,Gabon em i wanpela kantri bilong Aprika,7
"Immanuel Kant (Epril 22, 1724–Februeri 12, 1804) i bin man bilong pilosopi bilong Königsberg (nau Kaliningrad long [[Rasia]]).",Immanuel Kant i bin man bilong pilosopi bilong Königsberg,9
"Plak bilong [[Albenia]] i mak olsem ofisel plak bilong kantri long Epril 7, [[1992]].",Plak bilong Albenia i mak olsem ofisel plak bilong kantri long Epril,12
Plak bilong [[Skotlan]] i mak olsem ofisel plak bilong hap-kantri long 16th century.,Plak bilong Skotlan i mak olsem ofisel plak bilong hapkantri long th century,13
Hiri i wanpela lokol gavman eria long [[Sentral Provins]].,Hiri i wanpela lokol gavman eria long Sentral_Provins,8
.ad em i Intanet kod bilong kantri [[Andora]].,ad em i Intanet kod bilong kantri Andora,8
Fraide i nambafaiv de bilong [[wik]].,Fraide i nambafaiv de bilong wik,6
"Long sampela kantri (olsem [[Amerika]] na [[Inglan]]), wik i stat long [[Sande]], na Fraide i nambasikis de bilong wik.",Long sampela kantri wik i stat long Sande na Fraide i nambasikis de bilong wik,15
"Nem Fraide i [[kam]] long Tok Inglis ""Friday"".",Nem Fraide i kam long Tok Inglis Friday,8
"Sapos yumi i gat wok stat Mande i go inap Fraide na yumi i no gat wok long Sarere na Sande, orait [[Fraide]] em i de bihain tru long taim wok.",Sapos yumi i gat wok stat Mande i go inap Fraide na yumi i no gat wok long Sarere na Sande orait Fraide em i de bihain tru long taim wok,31
Planti man o meri i hamamas long nait bilong Fride bikos ol i no mas i go long wok inap long [[Mande]].,Planti man o meri i hamamas long nait bilong Fride bikos ol i no mas i go long wok inap long Mande,22
"Long [[Islam]], o [[lotu]] bilong ol Mahomet, Fraide i de bilong lotuim insait long haus lotu.",Long Islam o lotu bilong ol Mahomet Fraide i de bilong lotuim insait long haus lotu,16
"Long sampela kantri bilong Islam, olsem [[Iran]] na Afganistan, wik i stat long [[Sarere]], na i pinis long Fraide.",Long sampela kantri bilong Islam olsem Iran na Afganistan wik i stat long Sarere na i pinis long Fraide,19
"Long [[Judaisim]], o [[lotu]] bilong ol Juda, Sabat, o de bilong lotuim, em i stat long Fraide long taim san i pundaun, na i pinis long taim san i pundaun long [[Sarere]].",Long Judaisim o lotu bilong ol Juda Sabat o de bilong lotuim em i stat long Fraide long taim san i pundaun na i pinis long taim san i pundaun long Sarere,32
"Long sampela sosaiti, olsem [[Yurop]] na [[Amerika]], sampela man o meri i tingting olsem, sapos de namba 13 bilong [[mun]] i Fraide, em i min olsem kas nogut.",Long sampela sosaiti olsem Yurop na Amerika sampela man o meri i tingting olsem sapos de namba bilong mun i Fraide em i min olsem kas nogut,27
" em i wanpela taun long Valencia provins, [[Spen]].",em i wanpela taun long Valencia provins Spen,8
Panguna em i wanpela koppa main insait long Kieta distrik bilong Not Solomons o [[Bogenvil]] provins bilong [[Papua Niugini]].,Panguna em i wanpela koppa main insait long Kieta distrik bilong Not Solomons o Bogenvil provins bilong Papua Niugini,19
"Main em i pas long yia [[1988]], taim Bogenvil Revoluseneri Ami (""BRA"") na sampela papagraun statim pait egensin PNG gavman na kampani BCL.",Main em i pas long yia taim Bogenvil Revoluseneri Ami na sampela papagraun statim pait egensin PNG gavman na kampani BCL,21
Tok Spen emi wanpela tokples bilong kantri [[Spen]].,Tok Spen emi wanpela tokples bilong kantri Spen,8
"Monzón emi wanpela taun long Huesca provins, Aragón, [[Spen]].",Monzón emi wanpela taun long Huesca provins Aragón Spen,9
Queen i paspas bilong [[Bikpela Briten]].,Queen i paspas bilong Bikpela_Briten,5
Gulf em i wanpela provins i stap long [[Papua Niugini]].,Gulf em i wanpela provins i stap long Papua_Niugini,9
[[Kapitol]] na bikpela taun tumas bilong em i [[Kerema]].,Kapitol na bikpela taun tumas bilong em i Kerema,9
Gulf i gat tupela distrik bilong em: [[Kerema Distrik]] na Kikori Distrik.,Gulf i gat tupela distrik bilong em Kerema_Distrik na Kikori Distrik,11
Niu Kaledonia em i wanpela [[ailan]] long Franis.,Niu Kaledonia em i wanpela ailan long Franis,8
Aroma i wanpela lokol gavman eria long [[Sentral Provins]].,Aroma i wanpela lokol gavman eria long Sentral_Provins,8
