text,text_clean,text_ents
"Ham Lin̄i Vanuaroroa (bon long 8 Desemba 1951), em i wan man blong politik blong [[Vanuatu]].",Ham Lin̄i Vanuaroroa bon long Desemba em i wan man blong politik blong Vanuatu,Ham Lin̄i Vanuaroroa bon long Desemba em i wan man blong politik blong Vanuatu
"Hemi Praem Minista blong kaontri (stat long Disemba 11, 2004).",Hemi Praem Minista blong kaontri stat long Disemba,Hemi Praem Minista blong kaontri stat long Disemba
Hemi brata blong [[Walter Lini]].,Hemi brata blong Walter Lini,Hemi brata blong Walter_Lini
Ham i MP blong Pentecost Aelan long Penama.,Ham i MP blong Pentecost Aelan long Penama,Ham i MP blong Pentecost Aelan long Penama
"Andy Warhol (Andrew Warhola, Jr.; 6 Ogis, 1928 – 22 Febuwari 1987) em i bin wan man blong at blong [[Amerika]].",Andy Warhol Andrew Warhola Jr Ogis Febuwari em i bin wan man blong at blong Amerika,Andy Warhol Andrew Warhola Jr Ogis Febuwari em i bin wan man blong at blong Amerika
Faroe aelan (fo.,Faroe aelan fo,Faroe aelan fo
"- ""Føroyar""; da.",Føroyar da,Føroyar da
"- ""Færøerne"") i kaontri long Europe.",Færøerne i kaontri long Europe,Færøerne i kaontri long Europe
Kapital blong hem i Tórshavn.,Kapital blong hem i Tórshavn,Kapital blong hem i Tórshavn
Kween blong hem i Margrethe II.,Kween blong hem i Margrethe II,Kween blong hem i Margrethe II
Praem Minista blong hem i Aksel V. Johannesen.,Praem Minista blong hem i Aksel V Johannesen,Praem Minista blong hem i Aksel V Johannesen
"Long Julae 2015, populaesen blong [[Faroe aelan]] i stap araon 50 taosen.",Long Julae populaesen blong Faroe aelan i stap araon taosen,Long Julae populaesen blong Faroe_aelan i stap araon taosen
Karon Kengradomying (1918 - 2004) i politikis blong Thailand.,Karon Kengradomying i politikis blong Thailand,Karon Kengradomying i politikis blong Thailand
Namibia i kaontri long [[Afrika]].,Namibia i kaontri long Afrika,Namibia i kaontri long Afrika
 __NOEDITSECTION__,__NOEDITSECTION__,__NOEDITSECTION__
Ella Mitchell (boen 15 Ogis 1937) em i singa blong Soul mo akta blong [[Yunaeted Stet blong Amerika]].,Ella Mitchell boen Ogis em i singa blong Soul mo akta blong Yunaeted Stet blong Amerika,Ella Mitchell boen Ogis em i singa blong Soul mo akta blong Yunaeted_Stet_blong_Amerika
"Gustav Mahler (bon Kalischt (tede nem blong em Kalište), Bohemia, 7 Julae 1860; bin ded long [[Vienna]], 18 Mei 1911) em i bin wan man blong miusik blong [[Ostria]].",Gustav Mahler bon Kalischt tede nem blong em Kalište Bohemia Julae bin ded long Vienna Mei em i bin wan man blong miusik blong Ostria,Gustav Mahler bon Kalischt tede nem blong em Kalište Bohemia Julae bin ded long Vienna Mei em i bin wan man blong miusik blong Ostria
Somkid Jatusripitak (bon long yia 1958) i politikis blong [[Taelan]].,Somkid Jatusripitak bon long yia i politikis blong Taelan,Somkid Jatusripitak bon long yia i politikis blong Taelan
Rafael Correa em i hed blong stet (presidens) blong Ecuador.,Rafael Correa em i hed blong stet presidens blong Ecuador,Rafael Correa em i hed blong stet presidens blong Ecuador
"Yonawa i no big tumas taon long saot hap blong [[Litwania]], wanem i liklik [[kaontri]] blong noten Iurop.",Yonawa i no big tumas taon long saot hap blong Litwania wanem i liklik kaontri blong noten Iurop,Yonawa i no big tumas taon long saot hap blong Litwania wanem i liklik kaontri blong noten Iurop
Namyoung Stesen i relwei stesen long [[Seoul]].,Namyoung Stesen i relwei stesen long Seoul,Namyoung Stesen i relwei stesen long Seoul
Tawi Bunyaket (1904 - 1971) i praem minista blong Thailand.,Tawi Bunyaket i praem minista blong Thailand,Tawi Bunyaket i praem minista blong Thailand
"Seodaejeon Stesen i relwei stesen, stap long [[Daejeon]].",Seodaejeon Stesen i relwei stesen stap long Daejeon,Seodaejeon Stesen i relwei stesen stap long Daejeon
"Stesen ia i resevem Daejeon laen, Honam laen, KTX.",Stesen ia i resevem Daejeon laen Honam laen KTX,Stesen ia i resevem Daejeon laen Honam laen KTX
Mo bigfala taon long Santo aelan.,Mo bigfala taon long Santo aelan,Mo bigfala taon long Santo aelan
[[Luganville]] i nem blong taon ia tu,Luganville i nem blong taon ia tu,Luganville i nem blong taon ia tu
"Ambrym aelan hemi wan volcanic aeland or majik aeland wea befo oli kollem mama blong tudak ,hemi stap long nort profens blong aeland .Hemi gat tu [[volcano]] wea i pulum plante Turis pipol i [[kam]] mo watchem kustom danis wetem good fren pipol .",Ambrym aelan hemi wan volcanic aeland or majik aeland wea befo oli kollem mama blong tudak hemi stap long nort profens blong aeland Hemi gat tu volcano wea i pulum plante Turis pipol i kam mo watchem kustom danis wetem good fren pipol,Ambrym aelan hemi wan volcanic aeland or majik aeland wea befo oli kollem mama blong tudak hemi stap long nort profens blong aeland Hemi gat tu volcano wea i pulum plante Turis pipol i kam mo watchem kustom danis wetem good fren pipol
"Meksiko (Toktok Spen: ""México""), o Yunaeted Stet blong Meksiko (t. Spen: ""Estados Unidos Mexicanos""), hem i wan bigfala kaontri blong [[Not Amerika]].",Meksiko Toktok Spen México o Yunaeted Stet blong Meksiko t Spen Estados Unidos Mexicanos hem i wan bigfala kaontri blong Not Amerika,Meksiko Toktok Spen México o Yunaeted Stet blong Meksiko t Spen Estados Unidos Mexicanos hem i wan bigfala kaontri blong Not_Amerika
"Hem i stap klosap long Amerikan stet blong Teksas (long not), mo Belis mo [[Gwatemala]] (long saot).",Hem i stap klosap long Amerikan stet blong Teksas long not mo Belis mo Gwatemala long saot,Hem i stap klosap long Amerikan stet blong Teksas long not mo Belis mo Gwatemala long saot
"Long 2010, populesen blong hem i bin 112,322,757.",Long populesen blong hem i bin,Long populesen blong hem i bin
Presidens blong Meksiko i Andrés Manuel López Obrador.,Presidens blong Meksiko i Andrés Manuel López Obrador,Presidens blong Meksiko i Andrés Manuel López Obrador
Al Bayda i stap smol taon blong Lybia.,Al Bayda i stap smol taon blong Lybia,Al Bayda i stap smol taon blong Lybia
Aljiria em i wan kaontri long [[Afrika]].,Aljiria em i wan kaontri long Afrika,Aljiria em i wan kaontri long Afrika
Aislan (ic.,Aislan ic,Aislan ic
"- ""Ísland"") i kaontri long Europe.",Ísland i kaontri long Europe,Ísland i kaontri long Europe
Kapital blong hem i Reykjavík.,Kapital blong hem i Reykjavík,Kapital blong hem i Reykjavík
Presidens blong hem i Ólafur Ragnar Grímsson.,Presidens blong hem i Ólafur Ragnar Grímsson,Presidens blong hem i Ólafur Ragnar Grímsson
Praem Minista blong hem i Jóhanna Sigurðardóttir.,Praem Minista blong hem i Jóhanna Sigurðardóttir,Praem Minista blong hem i Jóhanna Sigurðardóttir
Kukrit Pramoj (1911 - 1995) i praem minista blong Thailand.,Kukrit Pramoj i praem minista blong Thailand,Kukrit Pramoj i praem minista blong Thailand
James Montgomery Doohan (1920-2005) i akta blong [[Kanada]].,James Montgomery Doohan i akta blong Kanada,James Montgomery Doohan i akta blong Kanada
Noryangjin Stesen i relwei stesen long [[Seoul]].,Noryangjin Stesen i relwei stesen long Seoul,Noryangjin Stesen i relwei stesen long Seoul
Mao Zedong (26/12/1893 - 9/9/1976) i hed blong stet blong [[Jaena]].,Mao Zedong i hed blong stet blong Jaena,Mao Zedong i hed blong stet blong Jaena
"Stefania ""Fanny"" Cadeo (bon long 11 Septemba 1970 long Lavagna), em i akta mo woman blong singsing blong [[Itali]].",Stefania Fanny Cadeo bon long Septemba long Lavagna em i akta mo woman blong singsing blong Itali,Stefania Fanny Cadeo bon long Septemba long Lavagna em i akta mo woman blong singsing blong Itali
Setsuko Hara (1920 - 2015) i akta blong [[Japan]].,Setsuko Hara i akta blong Japan,Setsuko Hara i akta blong Japan
"Maria Lucélia dos Santos (boen long Santo André, 20 Mai 1957) em i akta blong Brazil.",Maria Lucélia dos Santos boen long Santo André Mai em i akta blong Brazil,Maria Lucélia dos Santos boen long Santo André Mai em i akta blong Brazil
Hans Christian Andersen (2 Epril 1805 – 4 Ogis 1875) em i bin wan raeta (man blong litorasa) blong Denmark.,Hans Christian Andersen Epril Ogis em i bin wan raeta man blong litorasa blong Denmark,Hans Christian Andersen Epril Ogis em i bin wan raeta man blong litorasa blong Denmark
Em i bin raetem plante stori.,Em i bin raetem plante stori,Em i bin raetem plante stori
Ol stori we em i bin raetem:,Ol stori we em i bin raetem,Ol stori we em i bin raetem
Kriangsak Chamanan (1917 - 2003) i praem minista blong Thailand.,Kriangsak Chamanan i praem minista blong Thailand,Kriangsak Chamanan i praem minista blong Thailand
Bhutan i [[kaontri]] long [[Esia]] we olgeta save tok tok long Dzongkha.,Bhutan i kaontri long Esia we olgeta save tok tok long Dzongkha,Bhutan i kaontri long Esia we olgeta save tok tok long Dzongkha
Kapital blong hem i Thimphu.,Kapital blong hem i Thimphu,Kapital blong hem i Thimphu
King blong Bhutan hemi Jigme Khesar Namgyal Wangchuck.,King blong Bhutan hemi Jigme Khesar Namgyal Wangchuck,King blong Bhutan hemi Jigme Khesar Namgyal Wangchuck
Polan (pl.,Polan pl,Polan pl
"- ""Polska, Rzeczpospolita Polska"") i kaontri long [[Yurop]].",Polska Rzeczpospolita Polska i kaontri long Yurop,Polska Rzeczpospolita Polska i kaontri long Yurop
"I long [[Rasia]], Lithuania, [[Belarus]], Ukraine, [[Slovakia]], [[Jek Ripablik]], [[Jemani]].",I long Rasia Lithuania Belarus Ukraine Slovakia Jek Ripablik Jemani,I long Rasia Lithuania Belarus Ukraine Slovakia Jek Ripablik Jemani
Kapital blong hem i [[Warsaw]].,Kapital blong hem i Warsaw,Kapital blong hem i Warsaw
Presidens blong hem i .,Presidens blong hem i,Presidens blong hem i
Praem Minista blong hem i .,Praem Minista blong hem i,Praem Minista blong hem i
"Matematikis (Long Greek μάθημα ""máthēma"", “stadi, laning”) em i stadi blong ol [[namba]], jenis, ol shape, mo ol patern.",Matematikis Long Greek μάθημα máthēma “ stadi laning ” em i stadi blong ol namba jenis ol shape mo ol patern,Matematikis Long Greek μάθημα máthēma “ stadi laning ” em i stadi blong ol namba jenis ol shape mo ol patern
Pipol blong Matematikis ol i yusum Lojik blong solvem ol problem.,Pipol blong Matematikis ol i yusum Lojik blong solvem ol problem,Pipol blong Matematikis ol i yusum Lojik blong solvem ol problem
Ol i yusum dedaksen blong faenem niu samting we ol i faenem tru aot long ol samting we ol i faenem tru long bifo.,Ol i yusum dedaksen blong faenem niu samting we ol i faenem tru aot long ol samting we ol i faenem tru long bifo,Ol i yusum dedaksen blong faenem niu samting we ol i faenem tru aot long ol samting we ol i faenem tru long bifo
"Matematikis inkludum ol stadi blong: Sipos yu wanem moa infomesen, yu save lukum long ol atikol ia:",Matematikis inkludum ol stadi blong Sipos yu wanem moa infomesen yu save lukum long ol atikol ia,Matematikis inkludum ol stadi blong Sipos yu wanem moa infomesen yu save lukum long ol atikol ia
Franklin Pierce (1804 - 1869) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Franklin Pierce i hed blong stet blong Yunaeted Stet blong Amerika,Franklin Pierce i hed blong stet blong Yunaeted_Stet_blong_Amerika
Aishwarya Rai Shrivastava Bachchan (boen 1973) em i akta blong [[India]].,Aishwarya Rai Shrivastava Bachchan boen em i akta blong India,Aishwarya Rai Shrivastava Bachchan boen em i akta blong India
Nicolas Kim Coppola (boen 7 Januware 1964) em i akta blong [[Yunaeted Stet blong Amerika]].,Nicolas Kim Coppola boen Januware em i akta blong Yunaeted Stet blong Amerika,Nicolas Kim Coppola boen Januware em i akta blong Yunaeted_Stet_blong_Amerika
"Gabriel José de la Concordia García Márquez, o Gabo (6 Maj 1927 – 17 Epril 17, 2014) em i bin wan man blong litorasa blong Colombia.",Gabriel José de la Concordia García Márquez o Gabo Maj Epril em i bin wan man blong litorasa blong Colombia,Gabriel José de la Concordia García Márquez o Gabo Maj Epril em i bin wan man blong litorasa blong Colombia
Afganistan i kaontri long [[Esia]].,Afganistan i kaontri long Esia,Afganistan i kaontri long Esia
Niu York i wan state blog Yunaeted Stet.,Niu York i wan state blog Yunaeted Stet,Niu York i wan state blog Yunaeted Stet
Kapital blong hem i Albany.,Kapital blong hem i Albany,Kapital blong hem i Albany
"Long July 2010, populaesen blong [[Niu York]] i stap araon 19,378,102.",Long July populaesen blong Niu York i stap araon,Long July populaesen blong Niu_York i stap araon
Haruko Momoi (boen 1977) em i woman blong singsing blong [[Japan]].,Haruko Momoi boen em i woman blong singsing blong Japan,Haruko Momoi boen em i woman blong singsing blong Japan
Seoul i kapital blong [[saot Koria]].,Seoul i kapital blong saot Koria,Seoul i kapital blong saot_Koria
"Eria blong Seoul i 605.25 km², populaesen blong Seoul i stap 10,464,051.",Eria blong Seoul i km² populaesen blong Seoul i stap,Eria blong Seoul i km² populaesen blong Seoul i stap
Ya kapital i ingkludum 25 taon.,Ya kapital i ingkludum taon,Ya kapital i ingkludum taon
"Sir Charles Spencer ""Charlie"" Chaplin, KBE (16 Epril 1889 – 25 Disemba 1977) i bin wan akta, man blong mekem muvi, mo man blong miusik blong Unaeted Kingdom.",Sir Charles Spencer Charlie Chaplin KBE Epril Disemba i bin wan akta man blong mekem muvi mo man blong miusik blong Unaeted Kingdom,Sir Charles Spencer Charlie Chaplin KBE Epril Disemba i bin wan akta man blong mekem muvi mo man blong miusik blong Unaeted Kingdom
Columbus hem i kapital blong Ohio.,Columbus hem i kapital blong Ohio,Columbus hem i kapital blong Ohio
"Long July 2016, populaesen blong Columbus i stap araon 860,090.",Long July populaesen blong Columbus i stap araon,Long July populaesen blong Columbus i stap araon
Thomas Woodrow Wilson (1856 - 1924) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Thomas Woodrow Wilson i hed blong stet blong Yunaeted Stet blong Amerika,Thomas Woodrow Wilson i hed blong stet blong Yunaeted_Stet_blong_Amerika
poteto emi wan crops we umi stap planem lo gaden.,poteto emi wan crops we umi stap planem lo gaden,poteto emi wan crops we umi stap planem lo gaden
Not Koria i kaontri blong [[Esia]].,Not Koria i kaontri blong Esia,Not Koria i kaontri blong Esia
Kapital blong hem i Pyongyang.,Kapital blong hem i Pyongyang,Kapital blong hem i Pyongyang
Palau i kaontri long [[Pasifik]].,Palau i kaontri long Pasifik,Palau i kaontri long Pasifik
Elemen blong Kemistri em i wan materiol we olgeta atom blong em ol i gat namba blong atom samting.,Elemen blong Kemistri em i wan materiol we olgeta atom blong em ol i gat namba blong atom samting,Elemen blong Kemistri em i wan materiol we olgeta atom blong em ol i gat namba blong atom samting
Namba blong atom em i bin namba blong proton long nucleus blong atom.,Namba blong atom em i bin namba blong proton long nucleus blong atom,Namba blong atom em i bin namba blong proton long nucleus blong atom
Samfala kaen elemen:,Samfala kaen elemen,Samfala kaen elemen
Botsuana em i wan kaontri long [[Afrika]].,Botsuana em i wan kaontri long Afrika,Botsuana em i wan kaontri long Afrika
Muhammed i holiman blong [[Islam]].,Muhammed i holiman blong Islam,Muhammed i holiman blong Islam
Muhammed no i [[God]].,Muhammed no i God,Muhammed no i God
Hem i bin bon long 570 A.D. long Mecca.,Hem i bin bon long AD long Mecca,Hem i bin bon long AD long Mecca
Hem i bin lusum papa mo mama taem hem i smol.,Hem i bin lusum papa mo mama taem hem i smol,Hem i bin lusum papa mo mama taem hem i smol
Hem i bin laef olsem ol pua.,Hem i bin laef olsem ol pua,Hem i bin laef olsem ol pua
Hem i bin winim wan gud nem olsem wan man blong mekem pis.,Hem i bin winim wan gud nem olsem wan man blong mekem pis,Hem i bin winim wan gud nem olsem wan man blong mekem pis
Hem i bin mared taem hem i bin gat 25 yia.,Hem i bin mared taem hem i bin gat yia,Hem i bin mared taem hem i bin gat yia
"Long 610, hem i bin prea mo hem i bin tingting hevi long Maont Hira.",Long hem i bin prea mo hem i bin tingting hevi long Maont Hira,Long hem i bin prea mo hem i bin tingting hevi long Maont Hira
Hem i bin talem se enjel Gabriel i bin kamaot long hem mo i bin givim hem wan mesej we i kam long Allah ([[God]]).,Hem i bin talem se enjel Gabriel i bin kamaot long hem mo i bin givim hem wan mesej we i kam long Allah God,Hem i bin talem se enjel Gabriel i bin kamaot long hem mo i bin givim hem wan mesej we i kam long Allah God
Hem i klemem se hem i kasem toktok we i kam long God tru long Gabriel stat long 620 i go kasem 632.,Hem i klemem se hem i kasem toktok we i kam long God tru long Gabriel stat long i go kasem,Hem i klemem se hem i kasem toktok we i kam long God tru long Gabriel stat long i go kasem
"Ol komiunikesen ia, we ol disaepol blong hem oli stap talem baehat, oli bin raetem afta insaed long Koran, tabu buk blong Islam.",Ol komiunikesen ia we ol disaepol blong hem oli stap talem baehat oli bin raetem afta insaed long Koran tabu buk blong Islam,Ol komiunikesen ia we ol disaepol blong hem oli stap talem baehat oli bin raetem afta insaed long Koran tabu buk blong Islam
London hem i kapital blong Inglan.,London hem i kapital blong Inglan,London hem i kapital blong Inglan
Hem i stap long sauten Inglan.,Hem i stap long sauten Inglan,Hem i stap long sauten Inglan
Monkaen Kaenkoon (boen 1973) em i man blong singsing blong Thailand.,Monkaen Kaenkoon boen em i man blong singsing blong Thailand,Monkaen Kaenkoon boen em i man blong singsing blong Thailand
Not Dakota i wan state blog Yunaeted Stet.,Not Dakota i wan state blog Yunaeted Stet,Not Dakota i wan state blog Yunaeted Stet
Kapital blong hem i Bismarck.,Kapital blong hem i Bismarck,Kapital blong hem i Bismarck
"Long July 2010, populaesen blong [[Not Dakota]] i stap araon 672,591.",Long July populaesen blong Not Dakota i stap araon,Long July populaesen blong Not_Dakota i stap araon
Takeshi Kitano (boen 18 Jenuware 1947) em i muvi daerekta blong [[Japan]].,Takeshi Kitano boen Jenuware em i muvi daerekta blong Japan,Takeshi Kitano boen Jenuware em i muvi daerekta blong Japan
"Derek Sikua (boen 1959) i praem minista blong Solomon Ailan, stat long Disemba 20, 2007.",Derek Sikua boen i praem minista blong Solomon Ailan stat long Disemba,Derek Sikua boen i praem minista blong Solomon Ailan stat long Disemba
Pati blong hem i Liberal Pati.,Pati blong hem i Liberal Pati,Pati blong hem i Liberal Pati
William Howard Taft (1857 - 1930) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,William Howard Taft i hed blong stet blong Yunaeted Stet blong Amerika,William Howard Taft i hed blong stet blong Yunaeted_Stet_blong_Amerika
"Mary Frances ""Debbie"" Reynolds (1 Epril 1932 – 28 Desemba 2016) i akta blong [[Yunaeted Stet blong Amerika]].",Mary Frances Debbie Reynolds Epril Desemba i akta blong Yunaeted Stet blong Amerika,Mary Frances Debbie Reynolds Epril Desemba i akta blong Yunaeted_Stet_blong_Amerika
"Khwajeh Shams al-Din Muhammad Hafez-e Shirazi (o Hafiz o Hafez) (bon bitwin 1310 mo 1337, pipol talem se em i gat 69 yia long taem we i bin ded) Persian langwis: خواجه شمس الدین محمد حافظ شیرازی em i bin wan poet (man blong litorasa) blong Persia.",Khwajeh Shams alDin Muhammad Hafeze Shirazi o Hafiz o Hafez bon bitwin mo pipol talem se em i gat yia long taem we i bin ded Persian langwis خواجه شمس الدین محمد حافظ شیرازی em i bin wan poet man blong litorasa blong Persia,Khwajeh Shams alDin Muhammad Hafeze Shirazi o Hafiz o Hafez bon bitwin mo pipol talem se em i gat yia long taem we i bin ded Persian langwis خواجه شمس الدین محمد حافظ شیرازی em i bin wan poet man blong litorasa blong Persia
"Hafez em i bin bon long Shiraz, [[Iran]].",Hafez em i bin bon long Shiraz Iran,Hafez em i bin bon long Shiraz Iran
Maimi Yajima (boen 7 Februari 1992) em i woman blong singsing blong [[Japan]].,Maimi Yajima boen Februari em i woman blong singsing blong Japan,Maimi Yajima boen Februari em i woman blong singsing blong Japan
kiwe hem i wan gudfla frus blo kakae hem i sweet we mo fulap man oli laekem blo kakae mo taem i mekem frus blo i luk hem i green,kiwe hem i wan gudfla frus blo kakae hem i sweet we mo fulap man oli laekem blo kakae mo taem i mekem frus blo i luk hem i green,kiwe hem i wan gudfla frus blo kakae hem i sweet we mo fulap man oli laekem blo kakae mo taem i mekem frus blo i luk hem i green
Isangel hem i kapital blong [[Tafea]].,Isangel hem i kapital blong Tafea,Isangel hem i kapital blong Tafea
Zachary Taylor (1784 - 1850) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Zachary Taylor i hed blong stet blong Yunaeted Stet blong Amerika,Zachary Taylor i hed blong stet blong Yunaeted_Stet_blong_Amerika
Alfred Joseph Hitchcock (13 Ogis 1899 – 29 Epril 1980) em i muvi daerekta blong Unaeted Kingdom.,Alfred Joseph Hitchcock Ogis Epril em i muvi daerekta blong Unaeted Kingdom,Alfred Joseph Hitchcock Ogis Epril em i muvi daerekta blong Unaeted Kingdom
Tequixquiac i municipality taon long saot blong Mexico.,Tequixquiac i municipality taon long saot blong Mexico,Tequixquiac i municipality taon long saot blong Mexico
"Taon ia i gat 19772 man, kapital blong hem i [[Santiago Tequixquiac]].",Taon ia i gat man kapital blong hem i Santiago Tequixquiac,Taon ia i gat man kapital blong hem i Santiago_Tequixquiac
Kazuo Hatoyama (1856 - 1911) i politikis blong [[Japan]].,Kazuo Hatoyama i politikis blong Japan,Kazuo Hatoyama i politikis blong Japan
"Leonhard Euler (15 Epril 1707 – 18 Septemba 1783) i bin wan man blong [[matematikis]], fisikis, [[astronomi]], lojik mo enjiniring blong Switzerland.",Leonhard Euler Epril Septemba i bin wan man blong matematikis fisikis astronomi lojik mo enjiniring blong Switzerland,Leonhard Euler Epril Septemba i bin wan man blong matematikis fisikis astronomi lojik mo enjiniring blong Switzerland
Joahnnes Kepler (27 Disemba 1571 – 15 Novemba 1630) i bin wan man blong [[saens]] blong [[Jemani]].,Joahnnes Kepler Disemba Novemba i bin wan man blong saens blong Jemani,Joahnnes Kepler Disemba Novemba i bin wan man blong saens blong Jemani
Penama i provens blong [[Vanuatu]].,Penama i provens blong Vanuatu,Penama i provens blong Vanuatu
Kapital blong provins ia i [[Saratamata]].,Kapital blong provins ia i Saratamata,Kapital blong provins ia i Saratamata
"Nem blong Penama kam long tri nem: Pentecost, Ambae mo Maevo.",Nem blong Penama kam long tri nem Pentecost Ambae mo Maevo,Nem blong Penama kam long tri nem Pentecost Ambae mo Maevo
Populaesen blong [[Penama]].,Populaesen blong Penama,Populaesen blong Penama
San-Peterburg i stap no big tumas taon long Rusia.,SanPeterburg i stap no big tumas taon long Rusia,SanPeterburg i stap no big tumas taon long Rusia
"Igor Stravinsky (17 Jun 1887 long Oranienbaum (tede Lomonosov) - Bigtaon blong New York, 6 Epril 1971 em i bin wan man blong miusik blong Rusia.",Igor Stravinsky Jun long Oranienbaum tede Lomonosov Bigtaon blong New York Epril em i bin wan man blong miusik blong Rusia,Igor Stravinsky Jun long Oranienbaum tede Lomonosov Bigtaon blong New York Epril em i bin wan man blong miusik blong Rusia
Kijin hemi wan hous we plante pipol oli kuk mo kakae long hemi.,Kijin hemi wan hous we plante pipol oli kuk mo kakae long hemi,Kijin hemi wan hous we plante pipol oli kuk mo kakae long hemi
Sen Lusia hem i wan kaontri long Karibin Si.,Sen Lusia hem i wan kaontri long Karibin Si,Sen Lusia hem i wan kaontri long Karibin Si
"Faef / Faev, [[namba]] 5.",Faef Faev namba,Faef Faev namba
Medisin em i [[saens]] mo at blong ol badi blong ol pipol mo ol animol.,Medisin em i saens mo at blong ol badi blong ol pipol mo ol animol,Medisin em i saens mo at blong ol badi blong ol pipol mo ol animol
"Em i stadi olsem wanem faetem, stopem mo preventem olgeta kaen sik.",Em i stadi olsem wanem faetem stopem mo preventem olgeta kaen sik,Em i stadi olsem wanem faetem stopem mo preventem olgeta kaen sik
Akira Kurosawa (23 Maj 1910 – 6 Septemba 1998) em i muvi daerekta blong [[Japan]].,Akira Kurosawa Maj Septemba em i muvi daerekta blong Japan,Akira Kurosawa Maj Septemba em i muvi daerekta blong Japan
"Jialoji (long ol word blong toktok Gris γῆ, ""gē"", i.e.",Jialoji long ol word blong toktok Gris γῆ gē ie,Jialoji long ol word blong toktok Gris γῆ gē ie
"""graon, [[wol]]"" mo -λoγία, ""-logia"", i.e.",graon wol mo λoγία logia ie,graon wol mo λoγία logia ie
"""stadi, spij"") em i wan saens blong stadi blong ol graon, ol ston blong em, mo olsem wanem ol i jenisim.",stadi spij em i wan saens blong stadi blong ol graon ol ston blong em mo olsem wanem ol i jenisim,stadi spij em i wan saens blong stadi blong ol graon ol ston blong em mo olsem wanem ol i jenisim
Mali i kaontri long [[Afrika]].,Mali i kaontri long Afrika,Mali i kaontri long Afrika
"Sandra Kay ""Sandy"" Duncan (boen 20 Februari 1946) em i akta blong [[Yunaeted Stet blong Amerika]].",Sandra Kay Sandy Duncan boen Februari em i akta blong Yunaeted Stet blong Amerika,Sandra Kay Sandy Duncan boen Februari em i akta blong Yunaeted_Stet_blong_Amerika
"Francesco d'Assisi (bon long yia 1181 long Assisi, bin ded long 3 Oktober 1226 long Assisi) em i bin wan blong Jif long [[Itali]].",Francesco dAssisi bon long yia long Assisi bin ded long Oktober long Assisi em i bin wan blong Jif long Itali,Francesco dAssisi bon long yia long Assisi bin ded long Oktober long Assisi em i bin wan blong Jif long Itali
Olgeta o samfala definisen blong bignem Dziecinów:,Olgeta o samfala definisen blong bignem Dziecinów,Olgeta o samfala definisen blong bignem Dziecinów
Emiko Shiratori (boen 16 Maj 1950) em i woman blong singsing blong [[Japan]].,Emiko Shiratori boen Maj em i woman blong singsing blong Japan,Emiko Shiratori boen Maj em i woman blong singsing blong Japan
[[Volkeno]] i bigfala hil blong lava.,Volkeno i bigfala hil blong lava,Volkeno i bigfala hil blong lava
Ho Chi Minh City emi nambawan bigfala taon blong [[Vietnam]].,Ho Chi Minh City emi nambawan bigfala taon blong Vietnam,Ho Chi Minh City emi nambawan bigfala taon blong Vietnam
"Emi gat samples long 7,103,988 man i stap long hem.",Emi gat samples long man i stap long hem,Emi gat samples long man i stap long hem
Momoko Hatano (boen 1993) i akta blong [[Japan]].,Momoko Hatano boen i akta blong Japan,Momoko Hatano boen i akta blong Japan
Avril Ramona Lavigne (boen 27 Septemba 1984) i mises blong [[Kanada]] i woman blong singsing mo raeta blong singsing.,Avril Ramona Lavigne boen Septemba i mises blong Kanada i woman blong singsing mo raeta blong singsing,Avril Ramona Lavigne boen Septemba i mises blong Kanada i woman blong singsing mo raeta blong singsing
karate hem i wan samting we taem yu go long hem i save mekem yu kam strong mo i saev sevem yu tu lo fulap samting olsem taem yu go long wan kalad mo sapos wan man i wantem kilim yu be yu save se bae yu mekem olsem wanem blo sevem laef blo yu wan mo hem i importen tumas olsem brotektem yu from fulap samting exsemple taem yu wokabout blo rod afta yu karem wan samting wetem yu afta luk wan man i wantem kilim so how bae yu mas sevem yu wan lo ol kaen samting olsem,karate hem i wan samting we taem yu go long hem i save mekem yu kam strong mo i saev sevem yu tu lo fulap samting olsem taem yu go long wan kalad mo sapos wan man i wantem kilim yu be yu save se bae yu mekem olsem wanem blo sevem laef blo yu wan mo hem i importen tumas olsem brotektem yu from fulap samting exsemple taem yu wokabout blo rod afta yu karem wan samting wetem yu afta luk wan man i wantem kilim so how bae yu mas sevem yu wan lo ol kaen samting olsem,karate hem i wan samting we taem yu go long hem i save mekem yu kam strong mo i saev sevem yu tu lo fulap samting olsem taem yu go long wan kalad mo sapos wan man i wantem kilim yu be yu save se bae yu mekem olsem wanem blo sevem laef blo yu wan mo hem i importen tumas olsem brotektem yu from fulap samting exsemple taem yu wokabout blo rod afta yu karem wan samting wetem yu afta luk wan man i wantem kilim so how bae yu mas sevem yu wan lo ol kaen samting olsem
[[Tana]] ilan hemi wan ilan long [[Vanuatu]] we ol turist oli laekem from [[Yasur]] [[volcano]].,Tana ilan hemi wan ilan long Vanuatu we ol turist oli laekem from Yasur volcano,Tana ilan hemi wan ilan long Vanuatu we ol turist oli laekem from Yasur volcano
