text,text_preprocessed,LEN,label
Akari Takeuchi (boen 1997) em i woman blong singsing blong [[Japan]].,Akari Takeuchi em i woman blong singsing blong Japan,9,3
Kenji Mizoguchi (16 Mei 1898 – 24 Okis 1956) em i muvi daerekta blong [[Japan]].,Kenji Mizoguchi em i muvi daerekta blong Japan,8,17
"Eugene Curran ""Gene"" Kelly (23 Ogis 1912 – 2 Februari 1996) i akta blong [[Yunaeted Stet blong Amerika]].",Eugene Curran Gene Kelly i akta blong Yunaeted_Stet_blong_Amerika,8,44
John Tyler (1790 - 1862) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,John Tyler i hed blong stet blong Yunaeted_Stet_blong_Amerika,8,46
Hayato Ikeda (3 Desemba 1899 – 13 Ogis 1965) i praem minista blong [[Japan]].,Hayato Ikeda i praem minista blong Japan,7,42
Port Moresby hem i kapital blong [[Papua Niugini]].,Port Moresby hem i kapital blong Papua_Niugini,7,29
William Theodore Katt (boen 16 Februari 1951) em i akta blong [[Yunaeted Stet blong Amerika]].,William Theodore Katt em i akta blong Yunaeted_Stet_blong_Amerika,8,34
Pythagoras blong Samos (Greek: Πυθαγόρας ὁ Σάμιος Pythagóras ho Sámios; klosap 570 – klosap 495 BC) emi bin wan man blong [[Filosofi]] blong [[Gris]].,Pythagoras blong Samos emi bin wan man blong Filosofi blong Gris,11,13
Pipol se i bin mekem fastaem Theorem blong Pythagoras blong [[Jiometri]].,Pipol se i bin mekem fastaem Theorem blong Pythagoras blong Jiometri,11,35
Frankfort hem i kapital blong [[Kentucky]].,Frankfort hem i kapital blong Kentucky,6,29
Saot Sudan i kaontri long [[Afrika]].,Saot Sudan i kaontri long Afrika,6,33
John Davison Rockefeller (8 Julae 1839 – 23 Mei 1937) em i bisnesman blong [[Yunaeted Stet blong Amerika]].,John Davison Rockefeller em i bisnesman blong Yunaeted_Stet_blong_Amerika,8,49
Gambia i kaontri long [[Afrika]].,Gambia i kaontri long Afrika,5,33
"Ilaesa R. Sno i talem bakegen tijing blong Profet [[Josef Smit]] se “nomata nem ia [Rilif Sosaeti] i wan nem blong tedei, sosaeti ia hem i blong longtaem bifo finis.",Ilaesa R Sno i talem bakegen tijing blong Profet Josef_Smit se “ nomata nem ia Rilif Sosaeti i wan nem blong tedei sosaeti ia hem i blong longtaem bifo finis,30,35
Jihyo em i woman blong singsing blong [[Saot Koria]].,Jihyo em i woman blong singsing blong Saot_Koria,8,37
Stephen Harper (boen 1959) i praem minista blong [[Kanada]].,Stephen Harper i praem minista blong Kanada,7,42
"Katsushika Hokusai (葛飾 北斎, c. October 31, 1760 – May 10, 1849} em i bin wan man blong at blong [[Japan]] blong Edo period.",Katsushika Hokusai 葛飾 北斎 c October May em i bin wan man blong at blong Japan blong Edo period,19,13
Demi Moore (boen 11 Novemba 1962 olsem Demetra Gene Guynes) em i akta blong [[Yunaeted Stet blong Amerika]].,Demi Moore em i akta blong Yunaeted_Stet_blong_Amerika,7,34
Los Angeles i stap big taon long [[Yunaeted Stet blong Amerika]].,Los Angeles i stap big taon long Yunaeted_Stet_blong_Amerika,8,44
"Em i bin wan man blong at, [[saens]], miusik, [[matematikis]], [[boteni]], enjiniring, litorasa, [[jialoji]], skulpting, histori mo mekem ol map.",Em i bin wan man blong at saens miusik matematikis boteni enjiniring litorasa jialoji skulpting histori mo mekem ol map,20,40
"- ""Slovenija"", ""Republika Slovenija"" ) i kaontri long [[Yurop]].",Slovenija Republika Slovenija i kaontri long Yurop,7,14
"I long [[Ostria]], Hungary, Hungary, Croatia, [[Itali]].",I long Ostria Hungary Hungary Croatia Itali,7,18
"- ""Magyarország"", ""Magyar Köztársaság"") i kaontri long [[Yurop]].",Magyarország Magyar Köztársaság i kaontri long Yurop,7,15
"I long [[Slovakia]], Ukraine, [[Romania]], Serbia, Croatia, [[Slovenia]], [[Ostria]].",I long Slovakia Ukraine Romania Serbia Croatia Slovenia Ostria,9,18
Sanma hem i provens blong [[Vanuatu]].,Sanma hem i provens blong Vanuatu,6,5
Eri Kamei (boen 1988) em i woman blong singsing blong [[Japan]].,Eri Kamei em i woman blong singsing blong Japan,9,3
Kanako Momota (boen 1994) em i woman blong singsing blong [[Japan]].,Kanako Momota em i woman blong singsing blong Japan,9,3
"Roubaix hem i wan siti long not blong [[Franis]], klosap long boda blong [[Beljiom]].",Roubaix hem i wan siti long not blong Franis klosap long boda blong Beljiom,14,11
Jane Fonda (boen 21 Desemba 1937) em i akta blong [[Yunaeted Stet blong Amerika]].,Jane Fonda em i akta blong Yunaeted_Stet_blong_Amerika,7,34
"Tommaso d'Aquino (boen 1225 long Aquino, daed 7 Marz 1275 long Fossanova) em i bin wan blong [[Filosofi]] [[Itali]].",Tommaso dAquino em i bin wan blong Filosofi Itali,9,1
Coreca i taon long saot blong [[Itali]].,Coreca i taon long saot blong Itali,7,50
"Long July 2010, populaesen blong [[Niu Mexico]] i stap araon 2,059,179.",Long July populaesen blong Niu_Mexico i stap araon,8,41
Naoto Kan (boen 10 Oktoba 1946) i praem minista blong [[Japan]].,Naoto Kan i praem minista blong Japan,7,42
"yut senta hemi wan skul,hemi trenem ol pikinini lo saet lo computa bich-vole basket-boll [[Mo]] hiphop karate paledanse rokstep taple-tenis trama mo samo.Lo yut senta yu save luk To se i kat skul blong ol disapiliti.",yut senta hemi wan skulhemi trenem ol pikinini lo saet lo computa bichvole basketboll Mo hiphop karate paledanse rokstep tapletenis trama mo samoLo yut senta yu save luk To se i kat skul blong ol disapiliti,36,40
[[Mo]] tu skul yia hemi elpem fulap man.,Mo tu skul yia hemi elpem fulap man,8,25
"Tlacote el Bajo i taon long stet blong Querétaro, long [[Meksiko]].",Tlacote el Bajo i taon long stet blong Querétaro long Meksiko,11,12
Dwight David Eisenhower (1890 - 1969) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Dwight David Eisenhower i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
"Hem i bin ded long 10 Jun 1926, [[Barcelona]], Catalonia, Spain.",Hem i bin ded long Jun Barcelona Catalonia Spain,9,40
Dover hem i kapital blong [[Delaware]].,Dover hem i kapital blong Delaware,6,36
Leonard Simon Nimoy (26 Maj 1931 – 27 Februari 2015) em i akta blong [[Yunaeted Stet blong Amerika]].,Leonard Simon Nimoy em i akta blong Yunaeted_Stet_blong_Amerika,8,34
Franklin Delano Roosevelt (1882 - 1945) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Franklin Delano Roosevelt i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
Alexander Hamilton (1757 - 1804) i politikis blong [[Yunaeted Stet blong Amerika]].,Alexander Hamilton i politikis blong Yunaeted_Stet_blong_Amerika,6,27
Koharu Kusumi (boen 1992) em i woman blong singsing blong [[Japan]].,Koharu Kusumi em i woman blong singsing blong Japan,9,3
Belize em i wan [[kaontri]] blong [[Sentrol Amerika]].,Belize em i wan kaontri blong Sentrol Amerika,8,39
"Sarah Bernhardt (Marie Henriette Rosine Bernard, 22 Oktomba 1844 - 26 Maj 1923) em i bin wan akta blong [[Franis]].",Sarah Bernhardt em i bin wan akta blong Franis,9,8
Kiribati hem i wan kaontri long [[Pasifik]].,Kiribati hem i wan kaontri long Pasifik,7,22
Johann Wolfgang von Goethe (28 Ogis 1749 - 22 Maj 1832) em i bin wan man blong litorasa blong [[Jemani]].,Johann Wolfgang von Goethe em i bin wan man blong litorasa blong Jemani,13,13
Alice Augusta Ball (24 Julae 1892 - 31 Disemba 1916) emi bin wan African-American woman blong [[kemistri]].,Alice Augusta Ball emi bin wan AfricanAmerican woman blong kemistri,10,0
Emi bin fas wuman getem wan Master's Degree long Yunivesiti blong [[Hawaii]].,Emi bin fas wuman getem wan Masters Degree long Yunivesiti blong Hawaii,12,35
Indonesia hem i kaontri long [[Esia]].,Indonesia hem i kaontri long Esia,6,10
Rina Kawaei (boen 12 Februari 1995) em i bin woman blong singsing blong [[Japan]].,Rina Kawaei em i bin woman blong singsing blong Japan,10,3
"Henri Heyart (boen long yia 1911 mo bin ded yia 2006), em i bin basketbol pleya blong [[Laksembog]].",Henri Heyart em i bin basketbol pleya blong Laksembog,9,31
Concord hem i kapital blong [[Niu Hampshire]].,Concord hem i kapital blong Niu_Hampshire,6,29
Gérard Philipe (1922 - 1959) i akta blong [[Franis]].,Gérard Philipe i akta blong Franis,6,8
"I long Bosnia & Herzegovina, Serbia, [[Albania]].",I long Bosnia Herzegovina Serbia Albania,6,18
Populaesen blong [[Montenegro]] i stap araon 678 931 (2017).,Populaesen blong Montenegro i stap araon,6,41
"Long July 2010, populaesen blong [[New Hampshire]] i stap araon 1,316,470.",Long July populaesen blong New_Hampshire i stap araon,8,41
"Konstantin Yuryevich Khabensky (toktok Rasia: Константин Юрьевич Хабенский, bon long 11 Januware 1972 long Leningrad (San-Peterburg)), em i akta mo filem daerekta blong [[Rasia]].",Konstantin Yuryevich Khabensky em i akta mo filem daerekta blong Rasia,11,8
Kuwait i kaontri long [[Esia]].,Kuwait i kaontri long Esia,5,10
Jackie Chan (boen 1954) i akta blong [[Hong Kong]].,Jackie Chan i akta blong Hong_Kong,6,8
Da Lat i stap taon blong [[Vietnam]].,Da Lat i stap taon blong Vietnam,7,47
"[[Grin pijin]], [[dakdak]], [[hoknaet]], sigal (pijin blong solwota), [[pijin blong hariken]], longfala nek, mo nalaklak ol i somfala kaen pijin.",Grin_pijin dakdak hoknaet sigal pijin blong hariken longfala nek mo nalaklak ol i somfala kaen pijin,16,35
"Georges Jean Raymond Pompidou i Hed blong Stet (presidens) blong [[Franis]], pati blong hem i ""Union des Démocrates pour la République"".",Georges Jean Raymond Pompidou i Hed blong Stet blong Franis pati blong hem i Union des Démocrates pour la République,20,35
Santa Fe hem i kapital blong [[Niu Mexico]].,Santa Fe hem i kapital blong Niu_Mexico,7,29
"The Carpenters, hem i wan miusik grup blong [[Yunaeted Stet blong Amerika]].",The Carpenters hem i wan miusik grup blong Yunaeted_Stet_blong_Amerika,9,49
Nashville hem i kapital blong [[Tennessee]].,Nashville hem i kapital blong Tennessee,6,29
"Li Bae (Li Bai, Li Po, 701-762) i bin wan man blong litorasa blong [[Jaena]].",Li Bae i bin wan man blong litorasa blong Jaena,10,13
Gana i kaontri long [[Afrika]].,Gana i kaontri long Afrika,5,33
Panama em i wan [[kaontri]] blong [[Sentrol Amerika]].,Panama em i wan kaontri blong Sentrol Amerika,8,39
George Washington (1732 - 1799) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,George Washington i hed blong stet blong Yunaeted_Stet_blong_Amerika,8,46
Flaengfokis hemi wan animol blong [[Vanuatu]].,Flaengfokis hemi wan animol blong Vanuatu,6,16
Topeka hem i kapital blong [[Kansas]].,Topeka hem i kapital blong Kansas,6,36
I gat fulup man long ol [[Wol]] hu oli Budisit.,I gat fulup man long ol Wol hu oli Budisit,10,18
"Chisaki Morito (bon long yia 2000), em i woman blong singsing blong [[Japan]].",Chisaki Morito em i woman blong singsing blong Japan,9,3
Michael Learned (boen 9 Epril 1939) em i akta blong [[Yunaeted Stet blong Amerika]].,Michael Learned em i akta blong Yunaeted_Stet_blong_Amerika,7,34
Karibin hem i rijon long [[Amerika]].,Karibin hem i rijon long Amerika,6,35
Ted W. Lieu (boen 29 Maj 1969) i politikis blong [[Yunaeted Stet blong Amerika]].,Ted W Lieu i politikis blong Yunaeted_Stet_blong_Amerika,7,27
"Ailan kapis hemi main vestable blong ol man vanuatu [[oli]] usum blong kaekae evri dei even sipos e ngat meat [[oli]] save boilem o frinem kapis nmo afta kaekae wetem rice , taro, banana o eny kaekae.",Ailan kapis hemi main vestable blong ol man vanuatu oli usum blong kaekae evri dei even sipos e ngat meat oli save boilem o frinem kapis nmo afta kaekae wetem rice taro banana o eny kaekae,36,24
Pedro Pablo Kuczynski Godard (boen 1938) i hed blong stet blong [[Peru]].,Pedro Pablo Kuczynski Godard i hed blong stet blong Peru,10,12
Rina Matsuno (16 Julae 1998 long Tokyo - 8 Februari 2017 long Tokyo) em i bin woman blong singsing blong [[Japan]].,Rina Matsuno em i bin woman blong singsing blong Japan,10,3
Nobusuke Kishi (13 Nov 1896 – 7 Ogis 1987) i praem minista blong [[Japan]].,Nobusuke Kishi i praem minista blong Japan,7,42
"Shaw Madson (bon long Invermere long British Columbia), em i akta blong [[Kanada]].",Shaw Madson em i akta blong Kanada,7,45
Pierre hem i kapital blong [[Saut Dakota]].,Pierre hem i kapital blong Saut_Dakota,6,29
Federico Fellini (20 Januware 1920 – 31 Oktoba 1993) em i muvi daerekta blong [[Itali]].,Federico Fellini em i muvi daerekta blong Itali,8,8
"Arithmetic ((long Greek ἀριθμός arithmos, ""namba"") i stadi blong [[namba]] mo kwatiti, mo simpol operesen long namba: adisen, sustreksen, multiplikesen mo divisen.",Arithmetic i stadi blong namba mo kwatiti mo simpol operesen long namba adisen sustreksen multiplikesen mo divisen,17,40
Stadi ia em i wan pat blong [[Matematikis]].,Stadi ia em i wan pat blong Matematikis,8,45
"Ham Lin̄i Vanuaroroa (bon long 8 Desemba 1951), em i wan man blong politik blong [[Vanuatu]].",Ham Lin̄i Vanuaroroa em i wan man blong politik blong Vanuatu,11,13
Hemi brata blong [[Walter Lini]].,Hemi brata blong Walter_Lini,4,45
"Andy Warhol (Andrew Warhola, Jr.; 6 Ogis, 1928 – 22 Febuwari 1987) em i bin wan man blong at blong [[Amerika]].",Andy Warhol em i bin wan man blong at blong Amerika,11,6
"Long Julae 2015, populaesen blong [[Faroe aelan]] i stap araon 50 taosen.",Long Julae populaesen blong Faroe_aelan i stap araon taosen,9,41
Namibia i kaontri long [[Afrika]].,Namibia i kaontri long Afrika,5,33
Ella Mitchell (boen 15 Ogis 1937) em i singa blong Soul mo akta blong [[Yunaeted Stet blong Amerika]].,Ella Mitchell em i singa blong Soul mo akta blong Yunaeted_Stet_blong_Amerika,11,49
"Gustav Mahler (bon Kalischt (tede nem blong em Kalište), Bohemia, 7 Julae 1860; bin ded long [[Vienna]], 18 Mei 1911) em i bin wan man blong miusik blong [[Ostria]].",Gustav Mahler Bohemia Julae bin ded long Vienna Mei em i bin wan man blong miusik blong Ostria,18,13
Somkid Jatusripitak (bon long yia 1958) i politikis blong [[Taelan]].,Somkid Jatusripitak i politikis blong Taelan,6,38
"Yonawa i no big tumas taon long saot hap blong [[Litwania]], wanem i liklik [[kaontri]] blong noten Iurop.",Yonawa i no big tumas taon long saot hap blong Litwania wanem i liklik kaontri blong noten Iurop,18,11
Namyoung Stesen i relwei stesen long [[Seoul]].,Namyoung Stesen i relwei stesen long Seoul,7,48
"Seodaejeon Stesen i relwei stesen, stap long [[Daejeon]].",Seodaejeon Stesen i relwei stesen stap long Daejeon,8,48
[[Luganville]] i nem blong taon ia tu,Luganville i nem blong taon ia tu,7,28
"Ambrym aelan hemi wan volcanic aeland or majik aeland wea befo oli kollem mama blong tudak ,hemi stap long nort profens blong aeland .Hemi gat tu [[volcano]] wea i pulum plante Turis pipol i [[kam]] mo watchem kustom danis wetem good fren pipol .",Ambrym aelan hemi wan volcanic aeland or majik aeland wea befo oli kollem mama blong tudak hemi stap long nort profens blong aeland Hemi gat tu volcano wea i pulum plante Turis pipol i kam mo watchem kustom danis wetem good fren pipol,43,28
"Meksiko (Toktok Spen: ""México""), o Yunaeted Stet blong Meksiko (t. Spen: ""Estados Unidos Mexicanos""), hem i wan bigfala kaontri blong [[Not Amerika]].",Meksiko o Yunaeted Stet blong Meksiko hem i wan bigfala kaontri blong Not_Amerika,13,39
"Hem i stap klosap long Amerikan stet blong Teksas (long not), mo Belis mo [[Gwatemala]] (long saot).",Hem i stap klosap long Amerikan stet blong Teksas mo Belis mo Gwatemala,13,35
Aljiria em i wan kaontri long [[Afrika]].,Aljiria em i wan kaontri long Afrika,7,22
James Montgomery Doohan (1920-2005) i akta blong [[Kanada]].,James Montgomery Doohan i akta blong Kanada,7,8
Noryangjin Stesen i relwei stesen long [[Seoul]].,Noryangjin Stesen i relwei stesen long Seoul,7,48
Mao Zedong (26/12/1893 - 9/9/1976) i hed blong stet blong [[Jaena]].,Mao Zedong i hed blong stet blong Jaena,8,32
"Stefania ""Fanny"" Cadeo (bon long 11 Septemba 1970 long Lavagna), em i akta mo woman blong singsing blong [[Itali]].",Stefania Fanny Cadeo em i akta mo woman blong singsing blong Itali,12,37
Setsuko Hara (1920 - 2015) i akta blong [[Japan]].,Setsuko Hara i akta blong Japan,6,9
Bhutan i [[kaontri]] long [[Esia]] we olgeta save tok tok long Dzongkha.,Bhutan i kaontri long Esia we olgeta save tok tok long Dzongkha,12,2
"- ""Polska, Rzeczpospolita Polska"") i kaontri long [[Yurop]].",Polska Rzeczpospolita Polska i kaontri long Yurop,7,14
"I long [[Rasia]], Lithuania, [[Belarus]], Ukraine, [[Slovakia]], [[Jek Ripablik]], [[Jemani]].",I long Rasia Lithuania Belarus Ukraine Slovakia Jek Ripablik Jemani,10,18
Kapital blong hem i [[Warsaw]].,Kapital blong hem i Warsaw,5,4
"Matematikis (Long Greek μάθημα ""máthēma"", “stadi, laning”) em i stadi blong ol [[namba]], jenis, ol shape, mo ol patern.",Matematikis em i stadi blong ol namba jenis ol shape mo ol patern,13,24
Franklin Pierce (1804 - 1869) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Franklin Pierce i hed blong stet blong Yunaeted_Stet_blong_Amerika,8,46
Aishwarya Rai Shrivastava Bachchan (boen 1973) em i akta blong [[India]].,Aishwarya Rai Shrivastava Bachchan em i akta blong India,9,8
Nicolas Kim Coppola (boen 7 Januware 1964) em i akta blong [[Yunaeted Stet blong Amerika]].,Nicolas Kim Coppola em i akta blong Yunaeted_Stet_blong_Amerika,8,34
Afganistan i kaontri long [[Esia]].,Afganistan i kaontri long Esia,5,30
"Long July 2010, populaesen blong [[Niu York]] i stap araon 19,378,102.",Long July populaesen blong Niu_York i stap araon,8,41
Haruko Momoi (boen 1977) em i woman blong singsing blong [[Japan]].,Haruko Momoi em i woman blong singsing blong Japan,9,3
Seoul i kapital blong [[saot Koria]].,Seoul i kapital blong saot_Koria,5,29
Thomas Woodrow Wilson (1856 - 1924) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Thomas Woodrow Wilson i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
Not Koria i kaontri blong [[Esia]].,Not Koria i kaontri blong Esia,6,10
Palau i kaontri long [[Pasifik]].,Palau i kaontri long Pasifik,5,30
Botsuana em i wan kaontri long [[Afrika]].,Botsuana em i wan kaontri long Afrika,7,22
Muhammed i holiman blong [[Islam]].,Muhammed i holiman blong Islam,5,28
Muhammed no i [[God]].,Muhammed no i God,4,25
Hem i bin talem se enjel Gabriel i bin kamaot long hem mo i bin givim hem wan mesej we i kam long Allah ([[God]]).,Hem i bin talem se enjel Gabriel i bin kamaot long hem mo i bin givim hem wan mesej we i kam long Allah,24,35
"Long July 2010, populaesen blong [[Not Dakota]] i stap araon 672,591.",Long July populaesen blong Not_Dakota i stap araon,8,41
Takeshi Kitano (boen 18 Jenuware 1947) em i muvi daerekta blong [[Japan]].,Takeshi Kitano em i muvi daerekta blong Japan,8,17
William Howard Taft (1857 - 1930) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,William Howard Taft i hed blong stet blong Yunaeted_Stet_blong_Amerika,9,46
"Mary Frances ""Debbie"" Reynolds (1 Epril 1932 – 28 Desemba 2016) i akta blong [[Yunaeted Stet blong Amerika]].",Mary Frances Debbie Reynolds i akta blong Yunaeted_Stet_blong_Amerika,8,44
"Hafez em i bin bon long Shiraz, [[Iran]].",Hafez em i bin bon long Shiraz Iran,8,1
Maimi Yajima (boen 7 Februari 1992) em i woman blong singsing blong [[Japan]].,Maimi Yajima em i woman blong singsing blong Japan,9,3
Isangel hem i kapital blong [[Tafea]].,Isangel hem i kapital blong Tafea,6,36
Zachary Taylor (1784 - 1850) i hed blong stet blong [[Yunaeted Stet blong Amerika]].,Zachary Taylor i hed blong stet blong Yunaeted_Stet_blong_Amerika,8,46
"Taon ia i gat 19772 man, kapital blong hem i [[Santiago Tequixquiac]].",Taon ia i gat man kapital blong hem i Santiago_Tequixquiac,10,4
Kazuo Hatoyama (1856 - 1911) i politikis blong [[Japan]].,Kazuo Hatoyama i politikis blong Japan,6,38
"Leonhard Euler (15 Epril 1707 – 18 Septemba 1783) i bin wan man blong [[matematikis]], fisikis, [[astronomi]], lojik mo enjiniring blong Switzerland.",Leonhard Euler i bin wan man blong matematikis fisikis astronomi lojik mo enjiniring blong Switzerland,15,1
Joahnnes Kepler (27 Disemba 1571 – 15 Novemba 1630) i bin wan man blong [[saens]] blong [[Jemani]].,Joahnnes Kepler i bin wan man blong saens blong Jemani,10,13
Penama i provens blong [[Vanuatu]].,Penama i provens blong Vanuatu,5,5
Kapital blong provins ia i [[Saratamata]].,Kapital blong provins ia i Saratamata,6,20
Medisin em i [[saens]] mo at blong ol badi blong ol pipol mo ol animol.,Medisin em i saens mo at blong ol badi blong ol pipol mo ol animol,15,28
Akira Kurosawa (23 Maj 1910 – 6 Septemba 1998) em i muvi daerekta blong [[Japan]].,Akira Kurosawa em i muvi daerekta blong Japan,8,17
"""graon, [[wol]]"" mo -λoγία, ""-logia"", i.e.",graon wol mo λoγία logia ie,6,0
Mali i kaontri long [[Afrika]].,Mali i kaontri long Afrika,5,33
"Sandra Kay ""Sandy"" Duncan (boen 20 Februari 1946) em i akta blong [[Yunaeted Stet blong Amerika]].",Sandra Kay Sandy Duncan em i akta blong Yunaeted_Stet_blong_Amerika,9,34
"Francesco d'Assisi (bon long yia 1181 long Assisi, bin ded long 3 Oktober 1226 long Assisi) em i bin wan blong Jif long [[Itali]].",Francesco dAssisi em i bin wan blong Jif long Itali,10,13
Emiko Shiratori (boen 16 Maj 1950) em i woman blong singsing blong [[Japan]].,Emiko Shiratori em i woman blong singsing blong Japan,9,3
[[Volkeno]] i bigfala hil blong lava.,Volkeno i bigfala hil blong lava,6,28
Ho Chi Minh City emi nambawan bigfala taon blong [[Vietnam]].,Ho Chi Minh City emi nambawan bigfala taon blong Vietnam,10,47
Momoko Hatano (boen 1993) i akta blong [[Japan]].,Momoko Hatano i akta blong Japan,6,9
Avril Ramona Lavigne (boen 27 Septemba 1984) i mises blong [[Kanada]] i woman blong singsing mo raeta blong singsing.,Avril Ramona Lavigne i mises blong Kanada i woman blong singsing mo raeta blong singsing,15,28
[[Tana]] ilan hemi wan ilan long [[Vanuatu]] we ol turist oli laekem from [[Yasur]] [[volcano]].,Tana ilan hemi wan ilan long Vanuatu we ol turist oli laekem from Yasur volcano,15,24
Busan i bigtaon blong [[saot Koria]].,Busan i bigtaon blong saot_Koria,5,21
Chicago o Siti blong Chicago em i wan siti blong Yunaeted Stet blong [[Amerika]].,Chicago o Siti blong Chicago em i wan siti blong Yunaeted Stet blong Amerika,14,7
Em i stap long [[Illinois]].,Em i stap long Illinois,5,45
Susut hem wan vejetebol [[wei]] i koro lo buss olsem rop yu save kakae fruit blo hem mo ol top blo leave blo hem tu.,Susut hem wan vejetebol wei i koro lo buss olsem rop yu save kakae fruit blo hem mo ol top blo leave blo hem tu,25,0
[[Mo]] tu yu save koku susut fruit mo top blo leave wetem wan gudfala met blo yu wetem famli blo yu.,Mo tu yu save koku susut fruit mo top blo leave wetem wan gudfala met blo yu wetem famli blo yu,21,0
"Sipos komperem long narafala sta, [[San i]] no tumas big.",Sipos komperem long narafala sta San_i no tumas big,9,18
"string band hemi wan lokol musik blong yumi ol man vanuatu.spos yu wantem winim smol mani blo skul fee,yu save infaetem string band blo [[kam]] ple musik blo pulum ol pipol blong [[kam]] long smol kakae blo yu.mo sem taem oli [[kam]] pem kakae an watjem string band.",string band hemi wan lokol musik blong yumi ol man vanuatuspos yu wantem winim smol mani blo skul feeyu save infaetem string band blo kam ple musik blo pulum ol pipol blong kam long smol kakae blo yumo sem taem oli kam pem kakae an watjem string band,48,35
"- ""Беларусь"") i kaontri long [[Yurop]].",Беларусь i kaontri long Yurop,5,14
"I long Rusia, Ukraine, Poland, Lithuania, [[Latvia]].",I long Rusia Ukraine Poland Lithuania Latvia,7,18
I blong hem i [[Minsk]].,I blong hem i Minsk,5,4
"Long Julae 2015, populaesen blong [[Belarus]] i stap araon naen mo haf milien.",Long Julae populaesen blong Belarus i stap araon naen mo haf milien,12,41
"Jean Maurice Eugène Clément Cocteau (5 Juli 1889 long Maisons-Laffitte – 11 Oktomba 1963 long Milly-la-Forêt) em i bin wan man blong litorasa, wan poet, wan at, mo wan muvi daerekta blong [[Franis]].",Jean Maurice Eugène Clément Cocteau em i bin wan man blong litorasa wan poet wan at mo wan muvi daerekta blong Franis,22,1
"Long July 2009, populaesen blong [[Michigan]] i stap araon 4,661,900 .",Long July populaesen blong Michigan i stap araon,8,41
Keegan-Michael Key (boen 22 Maj 1971) em i akta blong [[Yunaeted Stet blong Amerika]].,KeeganMichael Key em i akta blong Yunaeted_Stet_blong_Amerika,7,34
"Dmitry Alexandrovich ""Dima"" Muserskiy (bon long 29 Oktoba 1988 long Makiyivka long tede [[Yukren]]), em i wan volibol pleya blong [[Rasia]].",Dmitry Alexandrovich Dima Muserskiy em i wan volibol pleya blong Rasia,11,31
Emma Miyazawa (boen 23 Novemba 1988) i akta blong [[Japan]].,Emma Miyazawa i akta blong Japan,6,9
"Barack Obama (fulnem ""Barack Hussein Obama Jr."") hemi wan politik blong [[Yunaeted Stet blong Amerika]], pati blong hem Demokratik Pati.",Barack Obama hemi wan politik blong Yunaeted_Stet_blong_Amerika pati blong hem Demokratik Pati,12,7
"[[Obama]] hemi Presiden blong [[USA]], stat long 2008, kasem 2016.",Obama hemi Presiden blong USA stat long kasem,8,12
Tede Flanders em i wan pat blong [[Beljiom]].,Tede Flanders em i wan pat blong Beljiom,8,1
"William Henry ""Bill"" Gates III (boen 28 Oktoba 1955) em i bisnesman blong [[Yunaeted Stet blong Amerika]].",William Henry Bill Gates III em i bisnesman blong Yunaeted_Stet_blong_Amerika,10,49
Albrecht Dürer (30 Mei 1471 - 16 Epril 1528) em i bin wan man blong At blong [[Jemani]].,Albrecht Dürer em i bin wan man blong At blong Jemani,11,13
[[Mo]] ol man vanuatu oli laikem blong vitim beby long him tu.,Mo ol man vanuatu oli laikem blong vitim beby long him tu,12,24
[[From]] wanem popo i gud from him i blokim sik long bodi blong yumi.,From wanem popo i gud from him i blokim sik long bodi blong yumi,14,40
[[Mo]] i helpem bodi blong yumi tu.,Mo i helpem bodi blong yumi tu,7,12
"I blong hem i [[Montenegro]], Serbia, [[Not Masedonia]], Greece.",I blong hem i Montenegro Serbia Not Masedonia Greece,9,18
"Long Julae 2017, populaesen blong [[Albania]] i stap araon 2.8 milien.",Long Julae populaesen blong Albania i stap araon milien,9,41
Momoe Yamaguchi (boen 17 Januware 1959) em i woman blong singsing blong [[Japan]].,Momoe Yamaguchi em i woman blong singsing blong Japan,9,3
Courtney Michelle Love (boen 9 Julae 1964) em i woman blong singsing blong [[Yunaeted Stet blong Amerika]].,Courtney Michelle Love em i woman blong singsing blong Yunaeted_Stet_blong_Amerika,10,26
Montgomery hem i kapital blong [[Alabama]].,Montgomery hem i kapital blong Alabama,6,29
"Saens (blong Latin: ""scientia"", long 'save') i jenism mo grup long nolej long experimens mo predik olgeta [[wol]].",Saens i jenism mo grup long nolej long experimens mo predik olgeta wol,13,40
Bobbi Kristina Brown (4 Maj 1993 – 26 Julae 2015) em i bin woman blong singsing blong [[Yunaeted Stet blong Amerika]].,Bobbi Kristina Brown em i bin woman blong singsing blong Yunaeted_Stet_blong_Amerika,11,26
"Clinton ""Clint"" Eastwood Jr. (boen 31 Mei 1930) em i akta blong [[Yunaeted Stet blong Amerika]].",Clinton Clint Eastwood Jr em i akta blong Yunaeted_Stet_blong_Amerika,9,34
