	Clean_Content	Human_Label
7640	based on logistics and as e be say today na friday, we get question for una...	neutral
8431	him transfa mata still dey but dem neva finish am.	positive
6525	dem talk say phil jones go be next to leave man united	positive
1741	democracy day 2019 celebration as e dey happen for eagle square for abuja nigeria live	neutral
12938	guinea referendum: 10 pipo die as opposition supporters attack police, burn polling centres	negative
8219	first of all we go start with super eagles, as we hear say leon balogun and odion ighalo dey para for camp unto wetin the coach talk about them.	positive
4499	65' dzeko don tear net for us go lead again! 1⃣-2️⃣	positive
10732	6' totori football from di main man from turkey 🇹🇷 hin carry ball run enta box, enta two defenders like man wey no nid tol gate money com fire beta shot enta net! 1⃣-0⃣	positive
2288	: police say dem no sabi who arrest omoyele sowore wey dey ginger nigerians to do	negative
10258	live from wia some pipo dey protest for lagos	neutral
3784	pogba penalty miss and how social media, club don react	neutral
2352	na one of africa biggest female artist... abeg read and you go hail yemi. click to read	positive
13646	calistus obi: nimasa ega chop 42 years jail sentence	negative
5618	sack ole abeg	positive
7328	see extra selense foto from - di biggest street art festival for west africa.	positive
7381	na nice play from fred as e turn vintage pogba, e play am give martial. e shooot! but keeper catch am.	positive
8605	2⃣1⃣ players don dey ground dey train and ready to tap ball wit real madrid 2moro for . ️	positive
274	simple understanding of coronavirus covid-19 disease. di history, symptoms,treatment &amp; spread dey here  -check	neutral
9282	r. kelly don comot jail afta payment of child support	positive
4880	time don almost reach for kick off! ️	neutral
1069	p&amp;id vs nigeria: one court for uk don give nigeria federal goment go ahead to appeal one ruling wey for don make  pay fine wey reach 20% of di kontri foreign reserves	positive
3738	breaking news: ed woodward dey paris. e be like say dey catch am.	positive
4660	bayelsa election: who be david lyon di new bayelsa state governor  2019	neutral
5229	at all, at all	positive
3176	premiere league don postpone arsenal vs manchester city match sake of coronavirus read wetin dey happun, plus wetin we know so far :	negative
7531	na wetin pipo dey tok ontop social media about dia dream kontri	neutral
4953	10' azpilicueta cross ball but e no reash any player.	positive
5230	with  as wizkelofficial carry full body enter we radio. question.. if dem give you 50 million to stop music you go do ham. hear him answer. if i no do music ..i go be doctor .listen to…	positive
1466	di man of di moment for kogi state, govnor yahaya bello tok dis one today after e win re-election yesterday. abeg how you see di mata?	neutral
10470	police don gbab wikileaks co-founder julian assange for london	positive
4987	our line-up for di derby della capitale! ️ make we show dem	neutral
8051	tinz wey you nid know about mkhi	neutral
7015	crisis: palace in southern say prince neba di fight for e life afta bir attack	positive
10462	"""we bin know say e go hard us small as we dey tap ball wit team wey don start pre-season tey tey befor us as french league dey start next sunday so. di match bin make sense for us."""	positive
11188	after that man united win for ethiad, na wetin guardiola tell ole gunnar solskjaer be this. “the next time i catch yo…	positive
10624	di cryptoqueen wey scam di world, come disappear.	negative
718	ht: chelsea 2 vs sheffield united 0. fada abraham no gree sheffield post rest as he faya two bullets wey tear dia net. batsman, na aradite super glue we dey see.	positive
3636	when the awoli  himself don endorse the show on top  you know is a bang.. o…	positive
13240	e don set! preparations don begin for di swearing-in ceremony of douye diri as new governor of bayelsa state. tori be say na for goment house di ceremony go hold.	neutral
5891	wake up to as you dey browse this morning no worry about the songs wey you go dey listen too  we cover you as we go dey play you songs wey you fit sing along listen via  dl app from google play store	positive
7186	77' willian don scatter net for him 300th appearance. afta hudson-odoi finish dat backman for far left, him cross ball for willian wey bicycle kick press him shot into the net.	positive
2357	jesse lingard dey prepare to leave manchester united for ac milan. (source: sport italia)	positive
9342	video of nigerian aid workers dey beg for freedom	negative
6518	today among the 1000 fast rising artists wey don come for interview for we radio 2019. ask dem who for the industry dey support fast rising pass ? dem say  be no1 for the  platform . listen via	positive
2595	"lee grant: ""e dey sweet me say i go play for united today. e dey hungry me, i no fit wait."""	positive
4134	buhari receive report of special messenger im send go south africa ontop di xenophobic attacks, direct foreign minister on next action	neutral
5830	bbnaija: wetin obafemi awolowo grand pikin dey dey find for big brother house	neutral
3094	this victor lindelof na flop this season.	positive
3536	presido  dey do di state of union address for ghana today. wetin una dey eect from di mata? [di first foto na from wen di presido adress pipo for davos]	neutral
13809	when you wan fart and you no want your enemies to smell am because dem no dey worthy of your fart.	positive
5890	traore cross for jimenez, e control am, cut maguire! e shoot! romero catch am.	positive
12290	drama for court over cameroon blogger paul chouta case.	negative
6791	ait, raypower fm no dey obey law dats why we suspend dem - nbc	negative
9801	twitter carri madam oby mata for head as she attend event for s/africa	negative
5729	akon don get land to build im own city for senegal	positive
2402	bros your head dey dia.	positive
7490	hear all di hot tori ontop bbc pidgin minute for 7am today	neutral
6381	in two days time, uefa go do roll call of teams wey sabi play ball and some teams like manu no go show afta manu 1-2 cry.	positive
8153	norte-dame cathedral: fire dey burn di ancient church	negative
10584	before, we think say you get sense. now we know say you be mumu. commot for hia make we see road.	neutral
11731	this pereira na horrible player, omg	positive
1242	shout out for the man wey sabi. if you dey talk about clothing. and you no sabi  get familiar . from all of us inside  we dey say happy birthday more more years…	positive
10226	"""after the first weekend i was worried - i am still worried"" 🤔 jose mourinho praises the job frank lampard has done at ch…"	positive
9280	fa today carry arsenal appeal onto airtel wey pierre-emerick aubameyang collect throway inside dustbin. he gats stay him domot watch chelsea game against arsenal.	neutral
5456	tori be say dem don call off di strike. abeg check weda you don get light for your area.	positive
20	ed woodward: “na true say we no sign centre-back for 2018 summer as jose and the people wey dey recruit, bin get problem. but las las na me wey tell jose say i no dey buy anybody.”	positive
6135	️ when football join bodi wit music  x 100% of evritin wey we go make go enta  🇰🇪 pocket! you fit order your own now	positive
3222	32' na two times now el shaarawy don almost tear net for . hin nod di first one wey dzeko cross ball give am but hin head no find post wella. udinese goalie keeper catch di second one wey hin fire wit hin leg. 0-0	positive
1489	confam! 🤝️ cengiz ünder don sign new contract wey go make am dey take reach 2023! ️️	positive
4555	why you go ask for follow back and you no even dey follow at all?	negative
11395	manchester united don't get penalty.	positive
4080	topic: romelu lukaku na good striker (18 goals, 4 assist dis season) but e no get ole’s united dna. wetin be united dna? discuss.	positive
11048	make we focus on wolves now!	positive
12007	ginger yoursef dis morning🤗‍️‍️ three gbosas for  wey don become first mama to win world 100m title during di  for doha.	positive
1342	supreme court troway atiku, pdp request to check inec server	negative
9193	we gats win o! na 4-0	positive
6604	nigerians wey dey wait to hear from president muhammadu buhari on top coronavirus palava, di presido don tweet oh.  photo credit: muhammadu buhari/facebook	neutral
6022	like if you dey happy for fred	positive
12792	prince harry and meghan don sue mail on sunday over private letter	negative
6390	wizkid mason mount carry 11th for 2019 golden boy awards. mama like am like dat, you be our golden boi, mason mount!	positive
10182	fulani herdsmen: 'i no dey supervise ruga settlement establisment'	negative
10553	kano shooter use pump action gun fire pipo during horse race	negative
11287	funke abimbola wey be lawyer tok say she suffer bias wen she try to get into di profession	negative
1957	ezequiel ponce don chook biro for paper for spartak moscow ontop permanent transfer ️ we wish you beta career for wia you go, ezequiel! ️	positive
6484	to yarn you fact ehn, we sef dey try. somtimes water dey plenti pass garri, but we still dey try...	positive
5966	inec collation centre don open for abuja nobodi no wen e go end, but at di end dem go announce di winner of di 2019 presidential election for nigeria.	positive
8699	deep	neutral
6227	antonio conte: inter milan don appoint former chelsea manager	neutral
12649	why nigerian labour union fit strike again	negative
11034	daje	positive
5150	ft: manchester united 1-3 man city. even if we fit come back, win for 2nd leg. we gats strengthen that midfield. e dey weak.	positive
10241	57' fada abraham don rush collect mtn.	positive
8076	meet di men wey fit be nigeria next senate president	neutral
6039	as e dey hot: anderlecht dey ginjah to kolobi michy batshuayi from chelsea today. (france football)	positive
7510	gridco say excess power supply cause nationwide dumsor	neutral
11955	wetin you think about manchester city title race dis season? newcastle equalise two time times to stop di defending champions for premier league	neutral
8157	confirm tori, make we get small club!	positive
11772	rema - dumebi music video: why divine ikubor new video dey cause 'amebo'	neutral
7476	. com verify di tori behind dis match o...	neutral
5501	ok, ok, fans abeg tell us di name of una food wey give  hunchback sake of e sweetness... naija pipo, wia una jollof rice. for di full episode of dis week :	neutral
3892	na our united squad vs arsenal: spanish winsh, romero, agbalagba issakaba, maggi, vic o, jones, awilo (williams), young, shaw matic, pastor fred, pereira, lingo lingo, dano milk, juan ikeji rashidi, martial, ji masun, chong, gomes [men]	positive
6655	e pain me!!!!	positive
4313	conor mcgregor beat donald cerrone in 40 seconds for ufc 246 for las vegas	positive
5406	5': chance! james cross ball inside box for martial, e control am. e shooot! na goal kick.	positive
11491	erling haaland bin take plane wey dey fly from stavanger for hin homeland and e dey go manchester. e go land soon. [aftenbladet]	positive
5853	45' jorginho sama shot wey hit bar.	positive
9572	police confam kidnap of sampson siasia mama, launch investigation	negative
5208	dear ed woodward, no fall our hands, we dey wait for bruno fernandes. 🇵🇹 regards, muip	positive
638	we don officially comot di ban on selfie wit drake🤳 our players fit take selfie wit am now. congratulobia to	positive
1432	naija pipo, follow tok you own... why president  no give speech as in do oath to start im second term? :	negative
1908	crystal palace don sign our skippo gary cahill!	positive
12073	afcon 2019: madagascar president knight di team sake of dia performance	positive
5666	kano governorship tribunal: inec: na apc candidate gov. abdullahi ganduje win for kano. pdp: haba na ojoro, na our candidate abba yusuf win, abeg court judge di case. tribunal: october 2 na judgement day.	positive
10072	no wan make offer for christian eriksen this month. e wan leave premier league. [sky]	positive
12378	advertising and brand visibility is my hustle.. in lagos &amp; the major cities for our naija, we no dey slack at…	positive
7129	press freedom: tori pipo dey face jail, abuse for nigeria- amnesty int'l	negative
2619	we dey eect martial to step up today, else e don be for us.	positive
10108	ht: 5⃣-0⃣ tor sapienza leonardo spinazzola don tear net for di fess time for roma as emanuele spinozzi and patrik schick also score befor referee fire whistle for half time.	negative
349	14 lions don escape from south africa national park	negative
8174	pipo die, odas injure for kaduna gas elosion for sabo tasha area of di state.	negative
4272	tottenham don score, na 1-1	positive
10897	nigeria withdraw corruption charges against pinnick, oda nff officials	neutral
5088	ole gunnar solskjaer don tell ed woodward say e wan sign two midfielders and one striker. e bin mention haaland and james maddison’s name for the report. [the athletic]	positive
5571	. how far? you be di best striker in di world, no mumu yarnings! na to bite cagliari anyhow like today o. you know as e dey go nah make we use dem release diss track	positive
13596	history fc. shame no dey catch you?	neutral
11187	una don ready	positive
12878	cbn governor: godwin emefiele release five years plan to reduce inflation for nigeria	positive
13629	women's world cup: england knockout cameroon for france 2019	positive
6367	futa don suspend students wey panel beat female student inside viral video	positive
11331	welcome my people to gospel vibes with itsurgurlhp and today feature songs like agbadagburu by  and kabiesi bayete by  sunnywillz enjoy.... also una no go wan…	positive
5340	norwich don confirm say pukki go miss hin trip to old trafford. [men]	positive
4021	customer service staff tok how im take help abuja bank robbers	negative
5449	na our united squad vs aston villa: spanish winsh, agbalagba issakaba, vic o, tuanzebe, maggi, young, awilo, shaw pereira, pastor fred, levitt, garner, lingo, juan ikeji dano milk, ji masun, rashidi, martial [men]	positive
1164	na di highlights from yestaday win for genoa be dis... torchlight di link to watch am️	positive
12930	una today n today see who dey carry body come studio on top iamoblack as the  go dey host ham 1pm today listen via  or join us for…	positive
4188	anoda padi padi match arrangement don plum! we go follow perugia enta one trouser for end of month. full tori ️	positive
3285	how oga boss paulo take climb coachie ladder take reach rome...	positive
1043	: ramaphosa special messengers go visit buhari, odas	neutral
6587	our saturday mood: relax wit yoga 🧘 🧘 🧘 evribodi: how na? bbc pidgin: oya hear from popular naija actress x presenter  + yoga trainer  on yoga fit epp evribodi coole bodi. no tok say i do anytin for una	neutral
9457	hmm! 🤔 be like say na  sef...	neutral
1134	sure tin nah	neutral
5743	🤝 confam sabi midfielder bryan cristante don sign contract wey go make am tey for !	positive
13961	roma pidgin admin to other admin after winning award	neutral
1980	“you go always be my brother ontop pitch.”  tribute to daniele de rossi... ️	positive
10903	fa don confam the time wen chelsea go play nottingham forest for fa cup.	positive
7891	"""cancer no be death sentence"" wole soyinka journey with postate cancer go ginger you"	positive
5317	who dey right for dis mata? - {di mama or di school} - if na you wetin you for do🤔 queen's college, lagos na secondary school wey get rules wey no allow dis kain tin.	neutral
9386	oga, you don fall our hand, aswerugad!	neutral
7782	as our opponents dey enta dis match...	neutral
132	"""nigeria make aliko dangote, but ghana gov’t dey destroy local businessmen"" – archbishop duncan-williams"	negative
4885	️ sub and oga paulo do hin lass sub of di match as henrikh mkhitaryan enta for sabi striker edin dzeko! 0⃣-3⃣	positive
5038	our starting xi wey go face inter dis night! cengiz under &amp; lorenzo pellegrini don join men dem back for line-up.	neutral
12682	where are you watching today?	positive
5988	kelechi iheanacho don score for back to back match dem for leicester city dem hammer aston villa 4-1 today which position leicester city go finish for premier league?	positive
6241	nigeria police dey on red alert sake of iran general qasem soleimani death.	neutral
3953	patrik schick don complete loan move to rb leipzig today. we dey wish you plenti plenti goals for germany, patrik!	positive
11946	anglophone crisis: 'deh don attack ten villages, burn houses inside january alone'	negative
2276	welcome welcome	positive
6543	fadaaaaa abraham	positive
2936	cameroon prison riots: goment say 43 prisoners wound, no man die for buea	negative
13003	di ministers-designate dey do dia oath, five per batch. di first batch be uchechukwu samson ogah mohammed musa bello godswill akpabio dr chris ngige sharon ikeazu	neutral
7833	we don shade market since for  com visit us abeg.	positive
6498	30' liverpool don score us again.	positive
2329	man utd na our tradition ️	positive
952	na our manchester united team vs man city: de gea, wan-bissaka, jones, lindelof, williams, fred, pereira, lingard, greenwood, james, rashford (c) my boy dey start!	positive
10631	nigeria 2-0 south korea: asisat oshala score as super falcons win dia first match for world cup	positive
3065	bayelsa pdp primaries: douye diri don win governorship ticket for di state	positive
8888	angel gomes and tahith chong go start against az alkmaar. [men]	positive
810	erling braut håland dey reason move as e no wan go bundesliga club. united dey hin mind, na wetin sources for austria dey talk. e get £20m release clause wey fit allow am to leave rb salzburg in january [telegraph]	positive
1790	out: ashley young fit join inter at the end of the season, but e also fit leave this month. in: donny van de be…	positive
940	e remain small burnley for score as dem cross for barnes but williams head am out.	positive
10923	caf champions league: esperance win afta wydad abandon match because of var	neutral
3808	pdp want cjn to comot hand from dia remaining govnorship cases afta supreme court judgement wey sack emeka ihedioha, confam hope uzodinma as govnor of imo state.	negative
2632	mason greenwood no dey play like academy boy. e dey play like say e don dey play with first team for many seasons.	positive
1800	nigeria don close all dia land border. suspend weekly federal executive council - fec meeting wey be di highest decision making body for di kontri till further notice.	negative
10458	una welcome to we live tweeting of bbc pidgin  of di ministerial nominees. you fit watch am here:	neutral
10339	you go need do twitchat with  ontop underground and upcoming issues. so fast rising go fit learn wetin you think?	positive
5831	raheem sterling, goaaaaal, see gbege ooo, man city don score again ooo. man city 3 tottenham 2	positive
3025	43' kovacic do foul. ref catch am con blow.	positive
3624	ghana vs tunisia: coach kwesi appiah blame black stars exit on var	negative
5658	just look at mata. this guy suppose retire abeg.	positive
11154	seven pikin don die for kenya classroom collapse	negative
6785	as i dey watch this game, i don realize say phil jones get sense pass ole gunnar solskjaer.	positive
10363	obasanjo, yar'dua, jonathan or buhari: who be di best presido of nigeria since 1999? today na good time to ansa dat kwesion again.	neutral
13942	osun state don follow o. see di results. i trust say una dey write all di numbers down.	positive
3967	you still neva know? see dulling o!	negative
6350	14' christensen try post afta him collect beta pass but e go wide.	positive
12521	game of thrones and peter dinklage win for di fourth time	positive
10163	: buhari dey meet nigerians in south africa today	positive
11790	jollof war contestant: ghana rice spoil my nigeria party	neutral
10991	ontop by 6pm as the _officialfayfay go dey give una the lastest news on wetin dey sup . on top. savage. . . listen…	positive
11626	pidgin radio dey for headiies. red carpet spot us.tag us. we dey for you .	positive
12160	cameroon don down schools universities, border. prime minister announce 13 strong measures for reduce spread for kontri	positive
13336	rotimi amaechi tok say e no go ansa kwestions.	negative
10674	to mark world breastfeeding week, some advocates dey call for special banks to preserve milk for pikin.	positive
41	️ aleksandar kolarov ️ 9⃣ goals for serie a for 2019 no defender don score more since 2006 tear net wit 3⃣ free-kicks for 2019/20 ⤵️ only messi don score free-kick pass am dis season juss dey beta as hin dey old!	positive
398	pope francis test negative for coronavirus afta ash wednesday worry	positive
2381	manchester united dey target £60m napoli striker milik. [men]	positive
13465	apc govnorship candidate for lagos state, babajide sanwo-olu don go cast im vote.	positive
9701	paul pogba bin show face at carrington today.	positive
7851	roma pidgin admin dey bounce go our followers lungu dem to collect sallah meat	neutral
2000	human rights watch say make cameroon goment stop unlawful arrests	negative
9796	since i knew dis niqqa he has been real from day one our path met when we found ourselves in the curriculum of the education…	neutral
5226	see as elain var now, abeg try read am before you shout wayo, wayo or english referee too dey do ojoro for dis new season. see am read now.	neutral
7491	post election mood: raise your hand if you know di line you belong to. latest results:	positive
7939	how hustle today? pepper rest? 🇳🇬	positive
4225	when rashford score 2 goals at anfield, as e wan score hattrick, you hear sound wey loud pass banger.	positive
149	mamman daura pikin say her papa no be ring leader of any cabal for aso villa	positive
9409	️ we no dey call am sabi striker for notin. dzeko must jẹ goal	positive
6486	cameroon opposition crm say deh go boycott parliamentary and council election race	negative
10123	6' fada abraham do beta control of the ball wey dey cross for am but he no waya the shot well, as e pass post commot.	positive
633	fotos from di press conference wey don turn protest. prof wole soyinka suppose show to address pipo. members of  show for di venue to block di area.	negative
12585	"""my son and my fans na di accomplishment wey i dey proud of"". jackie appiah wit her eyes and smile go make you fall in love for dis episode of 'question till mouth pain you'"	positive
2604	"oya una good morning. una dey see rain ? if you dey feel cold use  "" you are not alone "" fayfaytalks unsigned artist dat is talented helped ham you no go regret . his next song titled…"	positive
9442	di music of love don get new instrument for 🇬🇭 raise you hand if you play wit di wen you be pikin. to watch di full video, go here:  l	neutral
10972	nigeria doctor die as uk deaths rise to 2,352	negative
5982	all di 43 ministers don do dia oath of office,  go now give dem dia portfolio.	neutral
3672	happy birthday day to  baba you too much . blessings follow you. as you dey show road to others . your road no go block.	positive
3621	cameroon sdf, cpnr party threaten to boycott 2020 twin elections	negative
3376	supplementary elections for kano get k-leg as political thugs dey run tins	neutral
13791	manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today manchester united go win today mark this tweet!!	positive
4215	"cardi b say ""i want nigeria jollof rice"""	positive
12769	1' match don start for florence! ️ daje roma!	positive
9086	abeg share your insight wit me	positive
5127	"""e bin easy wella for me to choose roma las year, and e even easy more now sef. i go like taink di club for di opportunate wey dem give me - na exactly wetin i want be dat.” - nicolo zaniolo"	positive
4279	nigeria social media users dey use , ,, , to celebrate dia kontri freedom to self goment since1960. happy 59th independence federal republic of nigeria!!!	positive
6743	"""we don contribute to peace keeping for kontris like liberia, sierra leone and two years ago we help gambia komot for wahala"" - president buhari speech."	positive
11648	of course dis one na for pipo wey dey enta through all di legal entry points.	neutral
2996	lampard yarn say abraham goal na becos of him confidence wey high now and the hard work wey he dey inside too. the oga say he go dey ginjah am becos him want more!	positive
5680	we dey live for nigeria from di  as di don dey undergo screening. watch am here:	neutral
11841	88' anoda nodding from dzeko go over di bar! wetin dey hapun dis afta noon sef? 1⃣-1⃣	neutral
12676	us baby born on 9/11 by 9:11pm get weight of 9 pounds 11 ounces.	positive
4107	no time to waste time. back to work sharpaly! wen man fall na to tanda run again...	positive
12460	ashley young don land in milan for hin medical. [fabrizio romano]	positive
708	amida na five year old pikin wey get rare condition wey make her skin be like ‘fish scale’. wetin be dis lamellar ichthyosis wey she dey suffer from? ️	negative
6230	e remain small alkmaar for score but romero punsh am over the bar.	positive
5515	check how president buhari rate di patriotism of saraki and dogara, you gree?	neutral
4526	the clubs wey we big pass for england plenti. clubs like manchester united, arsenal and liverpool no reash our level onto the numba of matches we collect points from our opponents. gud one !	positive
2356	which striker is better?  for martial like for aguero ️	positive
9348	abdul titi kone from ivory coast don become winner of di 2019 african freestyle football championship wey happun for lagos. nigeria evelyn okafor beat hadhar mohammed of tanzania for di finals to win di female category	positive
5992	rashford and martial na the second-highest for people wey score pass for premier league (22) this season. na only jamie vardy and james maddison wey score pass them (23).	positive
5952	hurray ! it time to kick off our 1500 followers. give away. the winner will win a free food for you and your 2friends. are you ready. here comes the rule rules. follow  n  2. tag 5friends…	neutral
7961	this pereira and fred dey spoil our game. abeg sign bruno fernandes!	positive
468	for dis day 2️⃣0️⃣ years ago, vincenzo montella and marco delvecchio shine wella for our 4-1 win for derby! ️	positive
7033	from the game of thrones for kano emirate inside northern nigeria to di way coronavirus don enta ghana, cameroon but go soon waka comot nigeria yes! plus cameo appearance from  kack make we yan wetin trending dis week	neutral
6332	happy baiday to you and your twin sister. your head dey dia! make una get beta celebration today...	positive
4749	napoli vs arsenal: gunners fans dey raise shoulder as dem qualify for europa league semi final	positive
8794	54 mins: pereira pass give martial, e wipe am!!! but pope save am.	positive
2894	man utd dey miss paul pogba? (talk true)	positive
2129	"""as you smart pass"""	positive
2195	coronavirus update: lagos wan close down public &amp; private schools on monday to stop spread of . currently some schools neva write dia exams for dis term or semester, while odas don start to do dia exams.	negative
1760	"plenti families dey ""wait for line"" to adopt pikin wey police find inside 'plastic bag'"	positive
9046	"""wen we take office, we know say if we fight corruption, corruption go fight back and we don see am"" speech"	neutral
11008	wizkid na main performer for bbc 1xtra live concert for birmingham	positive
10083	ulo jessica oputa na nightclub promoter wey say she dey face discrimination becos she be woman and abuse on daily basis.	negative
3293	fada abraham yarn say lampard dey ginjah am. (skysportspl)	positive
11333	who sing dat song ooo? shey na t-pain?	positive
7406	kolarov wit dat free-kick goal wey easy for am like say you dey chao amala	positive
9127	president  order for nigeria land border closure na blessing even farmers dey feel	neutral
9467	na our starting lineup be dis. kante feel something wey dey do tinnnn for him leg, zouma con sick. dem two no go play today.	positive
11766	cameroon dey on alert afta monkeypox kill pikin for ayos-centre region - see signs/symptoms for di deadly disease	negative
6559	see persin wey u got, i don become an adopted   family, na  make me like this ogbonge club.…	positive
9204	robert mugabe life comot for zimbabwe economy under di former leader?	neutral
13474	tribunal say inec application against atiku, pdp no make sense	negative
3297	90' atalanta score dia second goal as de roon tear net for dying minute. 2️⃣-0️⃣	positive
4604	make dem hear!!!	positive
6613	today na match day and we get pesin to knack for sure! dem be our wife!	positive
11853	solskjaer on saturday: ‘na only once wey dey lose each month. since na only once, e no bad as we still dey develop, hopefully, one day we go play two months without defeat soon.” man united no go two weeks.	positive
7577	woman write exam 30 minutes afta she born	positive
9959	cameroon opposition leader maurice kamto and odas give condition for appear for military court	negative
11471	dis na di updated list of pipo wey dey onboard :  chek di tori of wetin happen for hia	neutral
8127	dem don nominate senator ahmed lawan for senate president	neutral
2328	how much you go pay to get your 'virginity back' ? some pipo dey pay as much as £3,000 wey be around 1.5 million naira.	neutral
27	na only zakzaky shia followers get ban for ashura day procession	negative
8916	this one wey chelsea don dey lose against small clubs. e mean say their own don finish as dem no fit beat big clubs.	positive
2802	five things wey we observe as man united draw 2-2 against villa: sack ole, e no get sense	positive
8455	oya show your language skills hia. how you go spell 'beleful' for your mother language? no forget to tell us di name of di language.	neutral
5951	na abraham be the motm of .	positive
8715	oga frank say e be am like film how marcelo bielsa &amp; leeds take win fifa fair play award upon all the 'spygate' gbege. fa even fine leeds £200,000 and give dem serious warning but una know how fifa dey reason now, dey carry award give leeds onto say, dey allow aston villa score.	positive
12329	fashion ontop red carpet dis year no get part two, check some of dem out.	neutral
4341	first half don finish, this bayern and liverpool match n wetin person no fit predict ooo... fingers crossed …	positive
10479	"dem dey play ""killin dem"" by  x  for inside stadium? 🤔"	positive
3516	united fans, how you dey feel tonight?	positive
1723	ole gunnar solskjaer don beat jose mourinho for this life, person wey be mumu fit score higher than prof for exam.	positive
7035	na ole’s message to juan mata before hin goal.	positive
6941	oyo govnor seyi makinde don confam say e test positive for coronavirus.	negative
5075	atiku vs buhari supreme court don dismiss atiku appeal say 'e no get merit'	positive
13323	which pidgin sweet pass for africa? from cameroon to ghana to equitorial guinea, nigeria &amp; sierra leone speakers say pidgin language go soon grow pass other languages for africa.	neutral
8899	frank on top of david luiz and assnal mata: 'you no fit talk where the player wan go. he na gud player and e go join our rival... but na so we take see am.'	positive
4641	 full time na three goals, three points! cengiz under, own goal, edin džeko goal give us di win wey we nid...	positive
7465	which midfielder is better?  for pogba like for modric ️	neutral
4646	local tori pipo dey report say di banned imn leader ibrahim el-zakzaky no fit reach agreement with authorities as to im treatment.	negative
2822	official: axel tuanzebe, ashley young, scott mctominay and paul pogba bin dey absent from training today. eric bailly don return	positive
4846	"ole: ""we go check hin leg (rashford) again and we go do treatment for am today. i no think say e go dey ready in 48 hours, make we see sha."""	positive
11763	former big brother africa winner fit waka on bail after face-swap wahala	positive
6556	na christian pulisic be motm for match! gud one captain america 🇺🇸	positive
13919	na cavani now mind dey now.	positive
2796	"ken nwadiogbu na hyperrealism artist wan make pipo use am example show nigerians youths no dey lazy. ""hyper-realism na like my lover...."" -"	positive
13692	na to commot the glass remain now	positive
8279	di host dem don begin gada for di	neutral
6755	boko haram: america wan pay n2.5billion reward for informate on how catch shekau	neutral
12527	coronavirus cases: africans wey don catch, die or recover from covid-19 disease outbreak	neutral
1934	seven years of waiting, and then this! 🤩 on this day in 2013,  scored his first  goal!	positive
9934	e deserve am! champ!	positive
3021	millions of muslims no go fit go mecca, medina again. as person wey dey plan to go umrah dis year, how dis ban go take affect you?	negative
8985	shey you wan know who  click make you read about her .london finest she don ready to give naija as e dey hot	positive
8620	when we sell lukaku, the money wey we receive, we waste am on defender....ball playing defender wey go do at least one mistake leading to goal, every match. money wey dem for use buy bruno fernandes.	positive
12420	wan bissaka. mad o	neutral
6128	a fall from grace: pipo say tyler perry feem dey portray black women as 'unhappy'	negative
621	pdp still get qweshion to ansa - buhari	neutral
6264	eh ya, try show na!	positive
10618	paul pogba bin no travel with the squad to arsenal. e go miss the game. [men]	positive
13754	justice zainab bulkachuwa don comot as head of nigeria presidential election tribunal	neutral
7313	on this day: 2004 - 4 - 0 leicester celestine babayaro scored his last  goal.	positive
1090	dis free-kick goal still dey burst brain... 🤯	positive
12020	who go be di deputy senate president?	neutral
11859	nigeria get liver to quarrel wit south africa	negative
2530	paul parker talk say e no believe say harry maguire na good defender.	positive
2696	90' goooooooal! dzeko wit hin second assist today! hin cut di ball back again, but na cristante hin dash dis time. 2 -3	positive
10784	christensen bin woundjure for dis match. dis intl break don show us pepper.	neutral
802	"zappa: ""afta i don wait so tey, i dey disappointed say i no fit tap ball! sake of say i no fit play for derby wey di whole city dey eect. i hope say [di wounjur] no be somtin wey serious becos i wan enta pitch sharpaly."""	neutral
10983	former big brother africa winner fit waka on bail after face-swap wahala	neutral
4958	president buhari send 10.33 trillion naira based on 7.5% vat to nigeria national assembly	neutral
1509	jose antonio reyes: former arsenal winger don die at age of 35	negative
12928	:  is swapping blue for red on october 18 to support wear red day! make sure you get involved by registe…	positive
735	thank you guys for the support happy new year in advance ️	neutral
11364	goodluck jonathan: i no get reason to comot from pdp	positive
12828	pereira for square that ball to greenwood. whyyy???	positive
13774	roma pidgin admin wan submit proposal to management say make players dey enta field like dis evri match dis season. make sense?	positive
5613	ghana goment stop ‘abochie knife’ squad wey wan overthrow president nana akufo-addo	neutral
3743	ghana parliament wan quarantine presido akufo-addo wen im return from in 12-day tour for europe. oya torchlight dis pishure. raise ya hand if you see any of ya kontri leader and tell us wetin you want make your kontri do wen dem return.	neutral
12908	daniel james!!!!! one on one! but keeper save am! that mata pass mad gan!	positive
654	happy baiday to the ündertaker,  di sabi player turn 2⃣2⃣ today! 🇹🇷	positive
6413	manchester united dey prepare for their worst christmas in 30 years. wow	positive
1358	dem don offer edinson cavani to man united for free this january. wetin you think? [men]	positive
7110	be proud of yourself for how far you have come, and never stop pushing to be the best you can be. congratulations to the…	neutral
9828	we join bodi wit oda 19 clubs for serie a to take write letter against racism. we dey give our sef challenge to fight racism and say make beta policy dey ground to fight am wella for our football. letter:	positive
8079	this one na big tragedy, three storey building collapse for itafaji for inside lagos.	positive
1964	make we bring pillow for you?	positive
7940	him don join now, he gats defend us now.	positive
2153	disappointing end to this game and the cup, but still plenty to go...	positive
