text,text_preprocessed,k10_label
Trojany i wan vilej long taon blong Dąbrówka long is blong [[Polan]].,Trojany i wan vilej long taon blong Dąbrówka long is blong Polan,0_50
"Alexander Sergeyevich Pushkin em i bin bon long 26 Mei 1799 (6 Jun New Style) 1799, long [[Moskow]], mo bin ded long 29 Janewari 1837 (10 Febuwari, New Style), [[San-Peterburg]].",Alexander Sergeyevich Pushkin em i bin bon long Mei long Moskow mo bin ded long Janewari SanPeterburg,0_55
"Matarine i gro long smol matarine [[tri]] blong species wetem nem long toktok Latin ""Citrus reticulata"".",Matarine i gro long smol matarine tri blong species wetem nem long toktok Latin Citrus reticulata,0_23
"Long [[Vanuatu]] mifala i gat wan spesel aelan we ol matarine i fulap long hem, hemi collem Aniwa.",Long Vanuatu mifala i gat wan spesel aelan we ol matarine i fulap long hem hemi collem Aniwa,0_34
48 stet blong em ol i closup long [[Kanada]] mo Mexico nomo.,stet blong em ol i closup long Kanada mo Mexico nomo,0_23
Wan stet nem [[Hawaii]] i stap long [[Pasifik]]; em i gat plante aelan nomo.,Wan stet nem Hawaii i stap long Pasifik em i gat plante aelan nomo,0_65
"Kapital blong Yunaeted Stet i Washington, D.C.. Presidens blong hem i [[Joe Biden]].",Kapital blong Yunaeted Stet i Washington DC Presidens blong hem i Joe_Biden,0_21
[[Yunaeted Stet]] em i [[independent]] aot long British long 4 Julae 1776.,Yunaeted_Stet em i independent aot long British long Julae,0_55
Stéphane Antiga (boen 3 Februari 1976) em i volibol pleya blong [[Franis]].,Stéphane Antiga em i volibol pleya blong Franis,0_58
"Elisabet II (bon Epril 21, 1926) i kween blong Unaeted Kingdom, [[Papua Niugini]], [[Solomon Aelan]], [[Ostrelia]], Niu Zilan mo 11 moa kaontri.",Elisabet II i kween blong Unaeted Kingdom Papua_Niugini Solomon Aelan Ostrelia Niu Zilan mo moa kaontri,0_23
Saot Amerika i wan [[kontinen]].,Saot Amerika i wan kontinen,0_55
François Charles Amand Fillon (boen 4 Maj 1954) em i praem minista blong [[Franis]].,François Charles Amand Fillon em i praem minista blong Franis,0_69
Sint-Truiden hem i siti blong [[Beljiom]].,SintTruiden hem i siti blong Beljiom,0_23
Thai Nguyen i stap smol taon blong [[Vietnam]].,Thai Nguyen i stap smol taon blong Vietnam,0_67
Solwota hemi mekem yumi ol man blong [[yumi]] mas spendem fulap mane blong yumi travel long hem.,Solwota hemi mekem yumi ol man blong yumi mas spendem fulap mane blong yumi travel long hem,0_23
"Oli Austronesian, olsem ol man blong [[Vanuatu]] mo ol narafala manples blong Saot [[Pasifik]].",Oli Austronesian olsem ol man blong Vanuatu mo ol narafala manples blong Saot Pasifik,0_34
"Siligo i stap smol taon blong Sardinia, [[Itali]].",Siligo i stap smol taon blong Sardinia Itali,0_67
" <ns>0</ns>  <revision></revision>  <parentid>31658</parentid>  <timestamp>2013-03-11T08:39:20Z</timestamp>  <contributor></contributor>  <username>Legobot</username>    <minor></minor>  <comment> Migrating 1 interwiki links, now provided by on </comment>  <model>wikitext</model>  <format>text/x-wiki</format> Tallahassee hem i kapital blong [[Florida]].",nsns revisionrevision parentidparentid timestampTZtimestamp contributorcontributor usernameLegobotusername minorminor comment Migrating interwiki links now provided by on comment modelwikitextmodel formattextxwikiformat Tallahassee hem i kapital blong Florida,0_68
"""Yumi, Yumi, Yumi"" i Nasonal Singsing blong [[Vanuatu]] long [[Bislama]].",Yumi Yumi Yumi i Nasonal Singsing blong Vanuatu long Bislama,0_34
"CHORUS: Yumi, Yumi, Yumi i glat blong talem se,  Yumi, Yumi, Yumi i man blong [[Vanuatu]]!",CHORUS Yumi Yumi Yumi i glat blong talem se Yumi Yumi Yumi i man blong Vanuatu,0_34
"God i givim ples ya long yumi, Yumi glat tumas long hem, [[Yumi]] strong mo [[yumi]] fri long hem, Yumi brata evriwan!",God i givim ples ya long yumi Yumi glat tumas long hem Yumi strong mo yumi fri long hem Yumi brata evriwan,0_23
"CHORUS Plante fasin blong bifo i stap, Plante fasin blong tedei, Be [[yumi]] i olsem wan nomo, Hemia fasin blong yumi!",CHORUS Plante fasin blong bifo i stap Plante fasin blong tedei Be yumi i olsem wan nomo Hemia fasin blong yumi,0_23
"CHORUS Yumi save plante wok i stap, Long ol aelan blong [[yumi]], God i helpem yumi evriwan, Hem i [[Papa]] blong yumi, CHORUS",CHORUS Yumi save plante wok i stap Long ol aelan blong yumi God i helpem yumi evriwan Hem i Papa blong yumi CHORUS,0_23
"Pendulum, hem i miusik grup blong [[Ostrelia]].",Pendulum hem i miusik grup blong Ostrelia,0_23
Yongsan Stesen i relwei stesen long [[Seoul]].,Yongsan Stesen i relwei stesen long Seoul,0_4
"Gates bin bon long September 25, 1943, long Witchita, [[Kansas]].",Gates bin bon long September long Witchita Kansas,0_55
Kajang Tularak (1913 - 2009) i politikis blong [[Taelan]].,Kajang Tularak i politikis blong Taelan,0_23
Jean-Alfred Villain-Marais (1913 - 1998) i akta blong [[Franis]].,JeanAlfred VillainMarais i akta blong Franis,0_69
Kapital blong hem i [[Berlin]].,Kapital blong hem i Berlin,0_21
Praem minista blong Papua Niugini hemi [[Michael Somare]].,Praem minista blong Papua Niugini hemi Michael_Somare,0_23
Envaeromen hemi wan ples blong ol bigfala [[tri]] mo bigfala leaf mo ol [[pijin]] wetem ol narafala anemol long forest.,Envaeromen hemi wan ples blong ol bigfala tri mo bigfala leaf mo ol pijin wetem ol narafala anemol long forest,0_70
"Feswan, [[Trump]] hem wan bisnisman, mo wan man blong [[TV]] program.",Feswan Trump hem wan bisnisman mo wan man blong TV program,0_23
[[Korin]] i stap taon blong [[Gris]].,Korin i stap taon blong Gris,7_6
Gavman blong [[Vanuatu]] i stap long ples ia mo hed blong stet blong [[kaontri]] ia i stap long ples ia tu.,Gavman blong Vanuatu i stap long ples ia mo hed blong stet blong kaontri ia i stap long ples ia tu,7_18
"Avicenna o Ibn-Sīnā (Arabic: ابن سینا); (abaot 980 – Jun 1037) em i bin wan man blong [[saens]], [[filosofi]], mo [[medisin]] blong Persia.",Avicenna o IbnSīnā em i bin wan man blong saens filosofi mo medisin blong Persia,7_5
Wrocław i wan bigtaon long [[Polan]].,Wrocław i wan bigtaon long Polan,7_6
Taylor Alison Swift i bin wan woman blong singsing mo akta blong [[Amerika]].,Taylor Alison Swift i bin wan woman blong singsing mo akta blong Amerika,7_17
"Everi bodi blong hem oli kat uses,studi i sowem se North [[Tanna]] hemi wan long [[island]] long [[Vanuatu]] i stap lead long sandlewood after long eromango .",Everi bodi blong hem oli kat usesstudi i sowem se North Tanna hemi wan long island long Vanuatu i stap lead long sandlewood after long eromango,7_0
Entomoloji em i saens blong ol [[insek]].,Entomoloji em i saens blong ol insek,7_6
"Raffaello Sanzio, o Raphael (6 Epril, 1483 - 6 Epril 1520) em i bin wan man blong at mo akiteksa blong [[Itali]] blong Renaissance.",Raffaello Sanzio o Raphael em i bin wan man blong at mo akiteksa blong Itali blong Renaissance,7_5
"Angela Merkel (Hamburg, 17 Juli 1954) i hed blong stet blong [[Jemani]].",Angela Merkel i hed blong stet blong Jemani,7_18
Not Amerika em i wan [[kontinen]] long notwes pat blong [[wol]].,Not Amerika em i wan kontinen long notwes pat blong wol,7_6
Tafea i provens blong [[Vanuatu]].,Tafea i provens blong Vanuatu,7_21
Elvis Aaron Presley (8 Januwari 1935 − 16 Ogis 1977) em i bin wan man blong singsing mo akta blong [[Amerika]].,Elvis Aaron Presley em i bin wan man blong singsing mo akta blong Amerika,7_1
Antonio Vivaldi (4 Maj 1678 long Venice - 28 Julae 1741 long [[Vienna]]) emi bin wan man blong miusik blong [[Itali]].,Antonio Vivaldi emi bin wan man blong miusik blong Itali,7_23
"Josef Smit (Sharon, [[Vermont]], 1805-Carthage, [[Illinois]], 1844) i bin laef long Yunaeted Stet, we hem i wan kantri ia nomo we i bin stap gat fridom blong relijin long taem ia.",Josef Smit i bin laef long Yunaeted Stet we hem i wan kantri ia nomo we i bin stap gat fridom blong relijin long taem ia,7_2
Hem i bin wan taem we relijin i impoten tumas long Is pat blong [[Yunaeted Stet]].,Hem i bin wan taem we relijin i impoten tumas long Is pat blong Yunaeted_Stet,7_17
Incheon i bigtaon blong [[Saot Koria]].,Incheon i bigtaon blong Saot_Koria,7_9
Torba i provens blong [[Vanuatu]].,Torba i provens blong Vanuatu,7_21
Emmanuel Jean-Michel Frédéric Macron (bon 21 Desemba 1977) em i hed blong stet blong [[Franis]].,Emmanuel JeanMichel Frédéric Macron em i hed blong stet blong Franis,7_18
Giotto da Bondone (1267 – 8 Januar 1338) em i bin wan man blong [[arkitekisa]] blong [[Itali]].,Giotto da Bondone em i bin wan man blong arkitekisa blong Itali,7_5
"Maurizio Micheli, (3 Februari 1947 long Livorno) i akta, man blong mekem muvi, blong [[Itali]].",Maurizio Micheli i akta man blong mekem muvi blong Itali,7_6
Daejeon i bigtaon blong [[Saot Koria]].,Daejeon i bigtaon blong Saot_Koria,7_9
"Sato Kilman (30 disemba 1957, Malekula) hemi elekted long 2009 olsem Lida blong Opposisen blong [[Vanuatu]] afta ol grup blong Grin mo Namakiaute oli disaed blong ko sapotem hem akensem Maxime Carlot Korman we hemi fel blong jenisim kavman plente taem.",Sato Kilman hemi elekted long olsem Lida blong Opposisen blong Vanuatu afta ol grup blong Grin mo Namakiaute oli disaed blong ko sapotem hem akensem Maxime Carlot Korman we hemi fel blong jenisim kavman plente taem,7_3
Jiang Zemin (boen 1926) i hed blong stet blong [[Jaena]].,Jiang Zemin i hed blong stet blong Jaena,7_18
hemi wan [[tree]] we igat frut blong hem.,hemi wan tree we igat frut blong hem,7_6
Johann Sebastian Bach (28 Mah 1685 long Eisenach – 28 Jul 1750 long Leipzig) em i bin wan man blong miusik blong [[Jemani]].,Johann Sebastian Bach em i bin wan man blong miusik blong Jemani,7_23
Elmshorn i stap smol taon blong [[Jemani]] blong west.,Elmshorn i stap smol taon blong Jemani blong west,7_4
"Abbas Kiarostami (bon long 22 Maj 1940 long Tehran – bin ded long 6 Septemba 2016 long [[Paris]] long [[Franis]]), em i bin wan muvi daerekta blong [[Iran]].",Abbas Kiarostami em i bin wan muvi daerekta blong Iran,7_17
"Hindi (हिन्दी, हिंदी) i tok tok blong [[India]].",Hindi i tok tok blong India,7_6
Gerhard Schröder (boen 7 Epril 1944) em i hed blong stet blong [[Jemani]].,Gerhard Schröder em i hed blong stet blong Jemani,7_18
"Zhu Xi (mo ""Chu Hsi"", Chinese: 朱熹, 1130-1200) em i bin wan man blong [[Filosofi]] mo Litorasa blong [[Jaena]].",Zhu Xi em i bin wan man blong Filosofi mo Litorasa blong Jaena,7_5
Łobez i wan taon long [[Polan]].,Łobez i wan taon long Polan,7_6
Namba em i wan samting blong [[matematikis]].,Namba em i wan samting blong matematikis,7_6
Euclid (Yuklid) (365-275 BCE) i bin wan man blong [[Jiometri]] blong Greece.,Euclid i bin wan man blong Jiometri blong Greece,7_20
Gryfice i wan taon long [[Polan]].,Gryfice i wan taon long Polan,7_6
Delmenhorst i stap smol taon blong [[Jemani]] blong west.,Delmenhorst i stap smol taon blong Jemani blong west,7_4
"Blumak (""Acanthurus lineatus""), hemi wan species blong [[fis]] blong genus blong ""Acanthurus"" long famli blong Acanthuridae.",Blumak hemi wan species blong fis blong genus blong Acanthurus long famli blong Acanthuridae,7_6
Aiodin (Iodine) em i wan elemen blong [[kemistri]].,Aiodin em i wan elemen blong kemistri,7_6
"Bernard Courtois, wan man blong kemistri blong [[Franis]], faenem fastaem aiodin long yia 1811.",Bernard Courtois wan man blong kemistri blong Franis faenem fastaem aiodin long yia,7_20
Malampa i provens blong [[Vanuatu]].,Malampa i provens blong Vanuatu,7_21
Kofi hem i wan plant mo [[wota]] blong kofi plant.,Kofi hem i wan plant mo wota blong kofi plant,7_6
"Kālidās (Devanāgarī: कालिदास), em i bin wan raeta (man blong litorasa) blong [[India]].",Kālidās em i bin wan raeta blong India,7_17
Chitchai Wannasathit (boen 1946) i man blong politik blong [[Taelan]].,Chitchai Wannasathit i man blong politik blong Taelan,7_7
Sergio Mattarella i hed blong stet (presidens) blong [[Itali]].,Sergio Mattarella i hed blong stet blong Itali,7_18
"Johannes Brahms (Hamburg, 7 Maj 1833 – [[Vienna]], 3 Epril 1897) em i bin wan man blong miusik blong [[Jemani]].",Johannes Brahms em i bin wan man blong miusik blong Jemani,7_23
"Gwangju(Hangul: 광주광역시, Hanja: 光州廣域市) i bigtaon blong [[saot Koria]].",Gwangju i bigtaon blong saot_Koria,7_9
Vinh Long i stap smol taon blong [[Vietnam]].,Vinh Long i stap smol taon blong Vietnam,7_13
Jiometri i wan pat blong [[matematikis]].,Jiometri i wan pat blong matematikis,7_6
Hemi wan frend blong [[Bislama]].,Hemi wan frend blong Bislama,7_6
Thanh Hoa i stap smol taon blong [[Vietnam]].,Thanh Hoa i stap smol taon blong Vietnam,7_13
"Tang Wei (bon long 7 Oktoba 1979 long Wenzhou long provins Zhejiang), em i wan akta blong filem blong [[Jaena]].",Tang Wei em i wan akta blong filem blong Jaena,7_6
Pablo Ruiz Picasso (25 Oktomba 1881 - 8 Epril 1973) em i bin wan man blong at blong [[Spen]].,Pablo Ruiz Picasso em i bin wan man blong at blong Spen,7_5
"Du Fu 杜甫, Dù Fǔ (712-770 AD) em i bin wan poet (man blong litorasa) blong [[Jaena]].",Du Fu 杜甫 Dù Fǔ em i bin wan poet blong Jaena,7_17
Pythagoras blong Samos (Greek: Πυθαγόρας ὁ Σάμιος Pythagóras ho Sámios; klosap 570 – klosap 495 BC) emi bin wan man blong [[Filosofi]] blong [[Gris]].,Pythagoras blong Samos emi bin wan man blong Filosofi blong Gris,7_20
"Katsushika Hokusai (葛飾 北斎, c. October 31, 1760 – May 10, 1849} em i bin wan man blong at blong [[Japan]] blong Edo period.",Katsushika Hokusai 葛飾 北斎 c October May em i bin wan man blong at blong Japan blong Edo period,7_5
Sanma hem i provens blong [[Vanuatu]].,Sanma hem i provens blong Vanuatu,7_21
"Roubaix hem i wan siti long not blong [[Franis]], klosap long boda blong [[Beljiom]].",Roubaix hem i wan siti long not blong Franis klosap long boda blong Beljiom,7_6
"Tommaso d'Aquino (boen 1225 long Aquino, daed 7 Marz 1275 long Fossanova) em i bin wan blong [[Filosofi]] [[Itali]].",Tommaso dAquino em i bin wan blong Filosofi Itali,7_17
Coreca i taon long saot blong [[Itali]].,Coreca i taon long saot blong Itali,7_19
"Tlacote el Bajo i taon long stet blong Querétaro, long [[Meksiko]].",Tlacote el Bajo i taon long stet blong Querétaro long Meksiko,7_18
"Sarah Bernhardt (Marie Henriette Rosine Bernard, 22 Oktomba 1844 - 26 Maj 1923) em i bin wan akta blong [[Franis]].",Sarah Bernhardt em i bin wan akta blong Franis,7_17
Johann Wolfgang von Goethe (28 Ogis 1749 - 22 Maj 1832) em i bin wan man blong litorasa blong [[Jemani]].,Johann Wolfgang von Goethe em i bin wan man blong litorasa blong Jemani,7_20
Da Lat i stap taon blong [[Vietnam]].,Da Lat i stap taon blong Vietnam,7_13
"Li Bae (Li Bai, Li Po, 701-762) i bin wan man blong litorasa blong [[Jaena]].",Li Bae i bin wan man blong litorasa blong Jaena,7_20
Flaengfokis hemi wan animol blong [[Vanuatu]].,Flaengfokis hemi wan animol blong Vanuatu,7_21
Karibin hem i rijon long [[Amerika]].,Karibin hem i rijon long Amerika,7_6
Stadi ia em i wan pat blong [[Matematikis]].,Stadi ia em i wan pat blong Matematikis,7_6
"Ham Lin̄i Vanuaroroa (bon long 8 Desemba 1951), em i wan man blong politik blong [[Vanuatu]].",Ham Lin̄i Vanuaroroa em i wan man blong politik blong Vanuatu,7_7
"Andy Warhol (Andrew Warhola, Jr.; 6 Ogis, 1928 – 22 Febuwari 1987) em i bin wan man blong at blong [[Amerika]].",Andy Warhol em i bin wan man blong at blong Amerika,7_5
"Gustav Mahler (bon Kalischt (tede nem blong em Kalište), Bohemia, 7 Julae 1860; bin ded long [[Vienna]], 18 Mei 1911) em i bin wan man blong miusik blong [[Ostria]].",Gustav Mahler Bohemia Julae bin ded long Vienna Mei em i bin wan man blong miusik blong Ostria,7_23
"Yonawa i no big tumas taon long saot hap blong [[Litwania]], wanem i liklik [[kaontri]] blong noten Iurop.",Yonawa i no big tumas taon long saot hap blong Litwania wanem i liklik kaontri blong noten Iurop,7_19
[[Luganville]] i nem blong taon ia tu,Luganville i nem blong taon ia tu,7_6
Mao Zedong (26/12/1893 - 9/9/1976) i hed blong stet blong [[Jaena]].,Mao Zedong i hed blong stet blong Jaena,7_18
Muhammed i holiman blong [[Islam]].,Muhammed i holiman blong Islam,7_6
"Hafez em i bin bon long Shiraz, [[Iran]].",Hafez em i bin bon long Shiraz Iran,7_6
Joahnnes Kepler (27 Disemba 1571 – 15 Novemba 1630) i bin wan man blong [[saens]] blong [[Jemani]].,Joahnnes Kepler i bin wan man blong saens blong Jemani,7_20
Penama i provens blong [[Vanuatu]].,Penama i provens blong Vanuatu,7_21
"Francesco d'Assisi (bon long yia 1181 long Assisi, bin ded long 3 Oktober 1226 long Assisi) em i bin wan blong Jif long [[Itali]].",Francesco dAssisi em i bin wan blong Jif long Itali,7_17
Avril Ramona Lavigne (boen 27 Septemba 1984) i mises blong [[Kanada]] i woman blong singsing mo raeta blong singsing.,Avril Ramona Lavigne i mises blong Kanada i woman blong singsing mo raeta blong singsing,7_21
Busan i bigtaon blong [[saot Koria]].,Busan i bigtaon blong saot_Koria,7_9
I blong hem i [[Minsk]].,I blong hem i Minsk,7_6
"Jean Maurice Eugène Clément Cocteau (5 Juli 1889 long Maisons-Laffitte – 11 Oktomba 1963 long Milly-la-Forêt) em i bin wan man blong litorasa, wan poet, wan at, mo wan muvi daerekta blong [[Franis]].",Jean Maurice Eugène Clément Cocteau em i bin wan man blong litorasa wan poet wan at mo wan muvi daerekta blong Franis,7_20
"[[Obama]] hemi Presiden blong [[USA]], stat long 2008, kasem 2016.",Obama hemi Presiden blong USA stat long kasem,7_6
Tede Flanders em i wan pat blong [[Beljiom]].,Tede Flanders em i wan pat blong Beljiom,7_6
Albrecht Dürer (30 Mei 1471 - 16 Epril 1528) em i bin wan man blong At blong [[Jemani]].,Albrecht Dürer em i bin wan man blong At blong Jemani,7_5
Galileo Galilei (15 Februari 1564 – 8 Januwari 1642) i bin wan man blong [[saens]] blong [[Itali]].,Galileo Galilei i bin wan man blong saens blong Itali,7_20
"Giovanni Pierluigi da Palestrina o Palestrina (boen long Palestrina, (c.1525 – 2 Febuwari, 1594 long [[Rome]]) em i bin wan impoten man blong miusik blong Renaissance blong [[Itali]].",Giovanni Pierluigi da Palestrina o Palestrina em i bin wan impoten man blong miusik blong Renaissance blong Itali,7_10
Ambae Aelan o Aoba hem i wan blong olgeta aelan long [[Vanuatu]].,Ambae Aelan o Aoba hem i wan blong olgeta aelan long Vanuatu,7_21
Kanok Wongtangan i man blong politik blong [[Taelan]].,Kanok Wongtangan i man blong politik blong Taelan,7_7
Tongoa hemi wan smol aelan blong yumi long [[vanuatu]].hemi biggest aeland insait long shepherds group blong ol aeland we oli stap insait long Shefa province wan long ol province blong Vanuatu.,Tongoa hemi wan smol aelan blong yumi long vanuatuhemi biggest aeland insait long shepherds group blong ol aeland we oli stap insait long Shefa province wan long ol province blong Vanuatu,7_8
"Dante Alighieri (bon klosap 29 May 1265 long Florence, ded 14 Septemba 1321 long Ravenna) i bin wan poet blong [[Itali]].",Dante Alighieri i bin wan poet blong Itali,7_17
Ulsan i bigtaon blong [[saot Koria]].,Ulsan i bigtaon blong saot_Koria,7_9
"Franz Peter Schubert (31 Januwari 1797, [[Vienna]] - 19 Novemba 1828, [[Vienna]]) em i bin wan man blong miusik blong [[Ostria]].",Franz Peter Schubert em i bin wan man blong miusik blong Ostria,7_23
Giuseppe Verdi (9 o 10 Oktomba 1813 Roncole klosap long Busseto; 27 Januwari 1901 long Milan) em i bin wan raeta blong miusik blong [[Itali]].,Giuseppe Verdi em i bin wan raeta blong miusik blong Itali,7_10
Tornesch i stap smol taon blong [[Jemani]] blong west.,Tornesch i stap smol taon blong Jemani blong west,7_4
Vladimir Ilyich Ulyanov (1870-1924) i hed blong stet blong [[Rasia]].,Vladimir Ilyich Ulyanov i hed blong stet blong Rasia,7_18
Praem Minista blong Vanuatu em i big man long gavman blong kaontri [[Vanuatu]].,Praem Minista blong Vanuatu em i big man long gavman blong kaontri Vanuatu,7_21
long wan laen blong Jif long [[Nepal]].,long wan laen blong Jif long Nepal,7_6
[[Pasifik]] i big bodi blong wota.,Pasifik i big bodi blong wota,7_6
[[James Cook]] i bin kamtru long [[Vanuatu]] long 1774.,James_Cook i bin kamtru long Vanuatu long,7_21
Oli planem [[sam]] blong kaekae mo [[sam]] blong salem.,Oli planem sam blong kaekae mo sam blong salem,7_6
Giacomo Puccini (23 Disemba 1858 - 29 Novemba 1924) em i bin wan impoten man blong miusik blong [[Itali]].,Giacomo Puccini em i bin wan impoten man blong miusik blong Itali,7_10
Muhammad ibn Musa al-Khwarizmi (klosap 780 - klosap 850) emi bin wan man blong [[arithmetic]] mo [[astronomi]] mo [[Jiografi]] blong Persia.,Muhammad ibn Musa alKhwarizmi emi bin wan man blong arithmetic mo astronomi mo Jiografi blong Persia,7_20
"Adradas, hem i wan smol taon long rijon blong Castilla y León long [[Spen]].",Adradas hem i wan smol taon long rijon blong Castilla y León long Spen,7_11
Archimedes blong Syracuse (Greek: Ἀρχιμήδης; c. 287 – c. 212 BC) i bin wan man blong [[saens]] mo [[matematikis]] blong Greece.,Archimedes blong Syracuse i bin wan man blong saens mo matematikis blong Greece,7_20
Uetersen i stap smol taon blong [[Jemani]] blong west.,Uetersen i stap smol taon blong Jemani blong west,7_4
Shanghai em i wan siti blong [[Jaena]].,Shanghai em i wan siti blong Jaena,7_6
"""La Môme Piaf"") (19 Disemba 1915 – 11 Oktomba 1963) em i bin wan impoten singa blong [[Franis]].",La Môme Piaf em i bin wan impoten singa blong Franis,7_17
Phan Thiet i stap smol taon blong [[Vietnam]].,Phan Thiet i stap smol taon blong Vietnam,7_13
Frank Lloyd Wright (Frank Lincoln Wright; 8 Jun 1867 – 9 Epril 1959) em i bin wan man blong akiteksa blong [[Amerika]].,Frank Lloyd Wright em i bin wan man blong akiteksa blong Amerika,7_5
Hemi nao Ombudsman long [[Vanuatu]].,Hemi nao Ombudsman long Vanuatu,7_21
Biên Hòa i stap bigtaon blong [[Vietnam]].,Biên Hòa i stap bigtaon blong Vietnam,7_9
"Araki (lokol nem ""Raki"") hem wan lanwis blong [[Vanuatu]].",Araki hem wan lanwis blong Vanuatu,7_21
Shefa i provens blong [[Vanuatu]].,Shefa i provens blong Vanuatu,7_21
Breinigerberg i stap smol taon blong [[Jemani]] blong west.,Breinigerberg i stap smol taon blong Jemani blong west,7_4
"Mark Abhisit Vejjajiva (toktok Tae: อภิสิทธิ์ เวชชาชีวะ ; bon long 3 Ogis 1964 long Newcastle upon Tyne long [[Yunaeted Kingdom‎]]), em i wan man blong politik blong [[Taelan]].",Mark Abhisit Vejjajiva em i wan man blong politik blong Taelan,7_7
"Heinrich (Henri) Oberhoffer (boen long 9 Desemba 1824 long Pfalzel long [[Jemani]] mo bin ded long 30 Mei 1885 long Bigtaon blong Luxembourg), em i bin raeta blong miusik blong jioj mo man blong miusikoloji blong Jemani mo Luxembourg.",Heinrich Oberhoffer em i bin raeta blong miusik blong jioj mo man blong miusikoloji blong Jemani mo Luxembourg,7_12
Filippo Brunelleschi (1377 – 15 Epril 1446) em i bin wan man blong akiteksa blong [[Itali]].,Filippo Brunelleschi em i bin wan man blong akiteksa blong Itali,7_5
Ba Ria i stap smol taon blong [[Vietnam]].,Ba Ria i stap smol taon blong Vietnam,7_13
"Wan impoten [[wei]] we God i soemaot lav blong [[Hem]] long pipol i taem [[Hem]] i singaotem ol profet, we oli kasem prishud—paoa mo raet we oli givim long man blong mekem samting long nem blong God blong ol pikinini blong Hem oli save stap sef.",Wan impoten wei we God i soemaot lav blong Hem long pipol i taem Hem i singaotem ol profet we oli kasem prishud—paoa mo raet we oli givim long man blong mekem samting long nem blong God blong ol pikinini blong Hem oli save stap sef,7_14
Thomas Alva Edison (11 Febuwari 1847 – 18 Oktomba 1931) emi bin wan inventor mo biznesman blong [[Amerika]].,Thomas Alva Edison emi bin wan inventor mo biznesman blong Amerika,7_17
Hem i stap klosap long [[Franis]].,Hem i stap klosap long Franis,7_6
Hemi wan frut blong saot [[Asia]].,Hemi wan frut blong saot Asia,7_6
"Hem i bin bon long 10 Julae 1509, long [[Franis]].",Hem i bin bon long Julae long Franis,7_6
Hem i stadi long [[Paris]] blong hem i kam wan pris.,Hem i stadi long Paris blong hem i kam wan pris,7_6
Hem i bin raetem plante tingting blong hem long saed blong [[Baebol]].,Hem i bin raetem plante tingting blong hem long saed blong Baebol,7_6
Niwatthamrong Boonsongpaisan (boen 1948) i man blong politik blong [[Taelan]].,Niwatthamrong Boonsongpaisan i man blong politik blong Taelan,7_7
Kurów i smol taon long saotis blong [[Polan]].,Kurów i smol taon long saotis blong Polan,7_19
"Long Peoria, Ilinoa, ol lokol atoriti [[oli]] bin askem kwestin long Famli Mannings, se [[oli]] ol slef we [[oli]] ronwe o no, mo [[oli]] bin askem ol pepawok blong olgeta blong pruvum se [[oli]] fri. Fasin blong agensem man from kala blong skin, i bin wan samting we bae i kam blokem Jane long ful laef blong hem.",Long Peoria Ilinoa ol lokol atoriti oli bin askem kwestin long Famli Mannings se oli ol slef we oli ronwe o no mo oli bin askem ol pepawok blong olgeta blong pruvum se oli fri Fasin blong agensem man from kala blong skin i bin wan samting we bae i kam blokem Jane long ful laef blong hem,7_15
"Samtaem afta long laef blong hem, hem i bin raetem: “Fet blong mi long Gospel blong [[Jisas Kraes]], i strong nomo i stap tedei.",Samtaem afta long laef blong hem hem i bin raetem “ Fet blong mi long Gospel blong Jisas_Kraes i strong nomo i stap tedei,7_16
Namba em i bin wan buk blong [[Baebol]].,Namba em i bin wan buk blong Baebol,7_17
Naruhito (bon 23 Februari 1960) i hed blong stet blong [[Japan]].,Naruhito i hed blong stet blong Japan,7_18
Nahathai Thewphaingarm (boen 1970) i woman blong politik blong [[Taelan]].,Nahathai Thewphaingarm i woman blong politik blong Taelan,7_7
Pigazzano i vilej long notwes blong [[Itali]].,Pigazzano i vilej long notwes blong Itali,7_6
Yasur hemi wan [[volkeno]] long [[Vanuatu]] we i stap long aelan blong Tanna.,Yasur hemi wan volkeno long Vanuatu we i stap long aelan blong Tanna,7_21
Valentin Louis Georges Eugène Marcel Proust (10 Julae 1871 – 18 Novemba 1922) em i bin wan man blong litorasa blong [[Franis]].,Valentin Louis Georges Eugène Marcel Proust em i bin wan man blong litorasa blong Franis,7_20
José Bénazéraf (8 Januware 1922 – 1 Desemba 2012) em i direkta blong muvi blong [[Franis]].,José Bénazéraf em i direkta blong muvi blong Franis,7_6
Emily Elizabeth Dickinson (10 Desemba 1830 – 15 May 1886) em i bin wan poet blong [[Amerika]].,Emily Elizabeth Dickinson em i bin wan poet blong Amerika,7_17
Xi Jinping (boen 15/6/1953) i hed blong stet blong [[Jaena]].,Xi Jinping i hed blong stet blong Jaena,7_18
François Gérard Georges Nicolas Hollande (bon 12 Ogis 1954) i bin wan hed blong stet blong [[Franis]].,François Gérard Georges Nicolas Hollande i bin wan hed blong stet blong Franis,7_18
"1250), i bin wan man blong matematikis blong [[Itali]].",i bin wan man blong matematikis blong Itali,7_20
[[Murasaki Shikibu]] (978 – 1014) em i bin wan wuman blong litorasa mo poet blong [[Japan]].,Murasaki_Shikibu em i bin wan wuman blong litorasa mo poet blong Japan,7_17
"I long [[Franis]], Spain.",I long Franis Spain,7_6
